pid,title,journal_title,year,period_3,author_position,author_name,inferred_gender,female_probability,classifier,classifier_version,census_year,threshold
S1981-38212007000100010,"Going Home in Peace: The Economy of Virtues, and Apathy as a Right",Brazilian Political Science Review,2007,2005-2011,1,Bruno P. W. Reis,Masculino,0.006017689250676158,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000100025,Europe Debates Its Destiny,Brazilian Political Science Review,2007,2005-2011,1,Sonia de Camargo,Feminino,0.9963053350220876,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000100053,Tradition and Diversification in the Uses and Definitions of the Law: A Proposed Analysis,Brazilian Political Science Review,2007,2005-2011,1,Fabiano Engelmann,Masculino,0.005769658547436325,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,2007,2005-2011,1,Felipe Botero,Masculino,0.006868830170834072,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,2007,2005-2011,2,Lucio R. Rennó,Masculino,0.004544453564493203,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000200040,The Veto Power of Sub-national Governments in Brazil: Political Institutions and Parliamentary Behaviour in the Post-1988 Period,Brazilian Political Science Review,2007,2005-2011,1,Marta Arretche,Feminino,0.9955896584364969,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000200074,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,Brazilian Political Science Review,2007,2005-2011,1,Simone R. Bohn,Feminino,0.9961879460010503,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000200108,Rethinking State Politics: The Withering of State Dominant Machines in Brazil,Brazilian Political Science Review,2007,2005-2011,1,André Borges,Masculino,0.00615716223630992,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212007000200137,The Securitization of the HIV/AIDS Epidemic as a Norm: A Contribution to Constructivist Scholarship on the Emergence and Diffusion of International Norms,Brazilian Political Science Review,2007,2005-2011,1,Marco Antonio Vieira,Masculino,0.003497610312242155,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,1,Eduardo Marques,Masculino,0.005914707369245647,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,2,Renata Bichir,Feminino,0.9950344042661902,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,3,Encarnación Moya,Feminino,1,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,4,Miranda Zoppi,Não classificado,0.6904881731253145,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,5,Igor Pantoja,Masculino,0.005879112808460635,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,2005-2011,6,Thais Pavez,Feminino,0.9958044873358495,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100035,Relationships between Institutional Economics of Cooperation and the Political Economy of Trust,Brazilian Political Science Review,2008,2005-2011,1,José G. Vargas-Hernández,Masculino,0.004439709786646096,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100057,Brazilian Democracy and the Power of &#8220;Old&#8221; Theories of Party Competition,Brazilian Political Science Review,2008,2005-2011,1,Fabiano Santos,Masculino,0.005769658547436325,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100077,Women in Upper Houses: A Global Perspective,Brazilian Political Science Review,2008,2005-2011,1,Pedro Neiva,Masculino,0.006652598557813649,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000100096,Re-evaluating the Contribution and Legacy of Hedley Bull,Brazilian Political Science Review,2008,2005-2011,1,Emerson Maione de Souza,Masculino,0.004047133809444082,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200010,The Role of the Brazilian Congress in Foreign Policy: An Empirical Contribution to the Debate,Brazilian Political Science Review,2008,2005-2011,1,Simone Diniz,Feminino,0.9961879460010503,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200010,The Role of the Brazilian Congress in Foreign Policy: An Empirical Contribution to the Debate,Brazilian Political Science Review,2008,2005-2011,2,Cláudio Oliveira Ribeiro,Masculino,0.004602670383919882,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200039,"Development, Good Governance, and Local Democracy",Brazilian Political Science Review,2008,2005-2011,1,Klaus Frey,Masculino,0.008743169398907104,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200074,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Brazilian Political Science Review,2008,2005-2011,1,Eduardo Alemán,Masculino,0.005914707369245647,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200093,"Justice, Professionalism, and Politics in the Exercise of Judicial Review by Brazil's Supreme Court",Brazilian Political Science Review,2008,2005-2011,1,Fabiana Luci Oliveira,Feminino,0.9954659361583384,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212008000200117,Representation and Deliberation in Civil Society,Brazilian Political Science Review,2008,2005-2011,1,Ricardo Fabrino Mendonça,Masculino,0.0036408077751265786,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100040,Defence and Regional Integration: The Case of the Brazilian Weapons Industry,Brazilian Political Science Review,2009,2005-2011,1,Suzeley Kalil Mathias,Feminino,1,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100040,Defence and Regional Integration: The Case of the Brazilian Weapons Industry,Brazilian Political Science Review,2009,2005-2011,2,Eduardo de Lucas Vasconcelos Cruz,Masculino,0.005914707369245647,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100058,Fairness in the Thought of John Rawls and Auguste Comte,Brazilian Political Science Review,2009,2005-2011,1,Gustavo Biscaia de Lacerda,Masculino,0.006935120413433656,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100093,How Safe are &#8220;Safe&#8221; Seats? A Comparison of Voluntary and Compulsory Voting Systems,Brazilian Political Science Review,2009,2005-2011,1,Tim R. L. Fry,Masculino,0,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100093,How Safe are &#8220;Safe&#8221; Seats? A Comparison of Voluntary and Compulsory Voting Systems,Brazilian Political Science Review,2009,2005-2011,2,Keith Jakee,Feminino,0.9133906633906634,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100093,How Safe are &#8220;Safe&#8221; Seats? A Comparison of Voluntary and Compulsory Voting Systems,Brazilian Political Science Review,2009,2005-2011,3,Martin Kenneally,Masculino,0.007562189054726368,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000100104,Preference Formation and Institutional Change,Brazilian Political Science Review,2009,2005-2011,1,Sérgio Praça,Masculino,0.002966023515730268,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200011,Politics and Development: Lessons from Latin America,Brazilian Political Science Review,2009,2005-2011,1,Renato Boschi,Masculino,0.004431042540055056,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200011,Politics and Development: Lessons from Latin America,Brazilian Political Science Review,2009,2005-2011,2,Flavio Gaitán,Masculino,0.005258029152624954,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200030,"Strong Presidents, Robust Democracies? Separation of Powers and Rule of Law in Latin America",Brazilian Political Science Review,2009,2005-2011,1,Marcus André Melo,Masculino,0.004305499990474557,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200060,At What Point does a Legislature Become Institutionalized? the Mercosur Parliament's Path,Brazilian Political Science Review,2009,2005-2011,1,Clarissa Dri,Feminino,0.9947673685537763,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200098,Analytical Challenges for Neoinstitutional Theories of Institutional Change in Comparative Political Science,Brazilian Political Science Review,2009,2005-2011,1,Flávio da Cunha Rezende,Masculino,0.005258029152624954,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,2009,2005-2011,1,Janina Onuki,Feminino,1,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,2009,2005-2011,2,Pedro Feliú Ribeiro,Masculino,0.006652598557813649,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,2009,2005-2011,3,Amâncio Jorge de Oliveira,Masculino,0,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100010,"Electoral Success and Political Institutionalization in the Federal Deputy Elections in Brazil (1998, 2002 and 2006)",Brazilian Political Science Review,2010,2005-2011,1,Renato Perissinotto,Masculino,0.004431042540055056,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100010,"Electoral Success and Political Institutionalization in the Federal Deputy Elections in Brazil (1998, 2002 and 2006)",Brazilian Political Science Review,2010,2005-2011,2,Bruno Bolognesi,Masculino,0.006017689250676158,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100033,Judicialization of Health Policy in the Definition of Access to Public Goods: Individual Rights versus Collective Rights,Brazilian Political Science Review,2010,2005-2011,1,Telma Maria Gonçalves Menicucci,Feminino,0.9956301704980485,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100033,Judicialization of Health Policy in the Definition of Access to Public Goods: Individual Rights versus Collective Rights,Brazilian Political Science Review,2010,2005-2011,2,José Angelo Machado,Masculino,0.004439709786646096,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100069,Policy-Making Process and Interest Groups: How do Local Government Associations Influence Policy Outcome in Brazil and the Netherlands?,Brazilian Political Science Review,2010,2005-2011,1,Anderson Macedo de Jesus,Masculino,0.0041319995421358465,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000100102,"Judges in the Formation of the Nation-State: Professional Experiences, Academic Background and Geographic Circulation of Members of the Supreme Courts of Brazil and the United States",Brazilian Political Science Review,2010,2005-2011,1,Luciano Da Ros,Masculino,0.005080626632191757,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000200010,"Federalism, Bicameralism, and Institutional Change: General Trends and One Case-study",Brazilian Political Science Review,2010,2005-2011,1,Marta Arretche,Feminino,0.9955896584364969,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000200032,Inherited Capital and Acquired Capital The Socio-political Dynamics of Producing Legal Elites,Brazilian Political Science Review,2010,2005-2011,1,Frederico de Almeida,Masculino,0.0041981528127623844,genderBR::get_gender,1.4.0,2022,0.9
S1981-38212010000200060,Burst Diplomacy The Diplomacies of Foreign Policy: Actors and Methods,Brazilian Political Science Review,2010,2005-2011,1,Guillaume Devin,Masculino,0,genderBR::get_gender,1.4.0,2022,0.9
