Numero USP,Frequencia,Nota
14558926,90,9.7
11760430,89,8.3
17117294,0,0
14567093,90,9.5
5549811,90,9.6
15452656,89,7
14574661,90,8.9
15585578,90,9.8
15528312,90,9.2
15553839,89,8.1
15676771,90,9
10765228,79,7
14584443,90,10
14586921,90,10
16889846,90,10
4725594,88,5.5
16894387,78,5.4
14602925,90,10
11816341,50,0
12507630,50,0
14610153,90,10
