Numero USP,Frequencia,Nota
14554690,90,9.5
15439907,90,9.5
15510702,89,7.7
15442662,89,7.3
9875681,0,0
14562914,90,9
3464981,88,6.8
15445370,90,10
15514004,79,8.2
13713872,90,9
11330361,90,10
15451867,88,6.4
14780870,90,10
13825860,90,9.9
14573451,89,8.8
13860449,90,10
15456813,90,9.1
15457821,88,6.4
13723971,50,0
15464083,79,8.4
8682184,90,10
14583212,90,9.2
14654997,88,5.9
10437013,89,8.7
14655362,90,10
14589448,79,7.8
13636981,90,9.4
14759962,89,8.2
14678357,90,9.5
14596738,78,5.8
15524472,90,9.3
15361241,90,9.2
13636574,90,9.7
14657447,80,9.3
7618206,0,0
13721516,90,10
13636719,90,9.4
12507571,90,10
13838774,90,9.4
9825991,78,6.7
14612631,89,8
