pid,title,journal_title,year,document_type,exclude_from_analysis,exclusion_reason,decision_by,decision_date,notes
S0011-52582008000200002,Ruth Corrêa Leite Cardoso,Dados,2008,research-article,TRUE,non_research_obituary,Manoel,2026-06-02,"Obituário/homenagem; preservar no corpus, mas excluir da análise principal."
S0102-85292023000200904,Novas direções para a Análise de Política Externa': reconfigurando o campo,Contexto Internacional,2023,research-article,TRUE,non_research_editorial,Manoel,2026-06-02,"Editorial/introdução de edição especial; preservar no corpus, mas excluir da análise principal."
S0011-52582022000100401,"Por uma Abordagem Interdisciplinar, Estrutural e Interseccional de Usuárias(os) do Estado: Comentário Crítico ao Artigo &#8220;Categorizando Usuários &#8216;Fáceis&#8217; e &#8216;Difíceis&#8217;...&#8221; de Gabriela Spanghero Lotta e Roberto Rocha Coelho Pires",Dados,2022,article-commentary,TRUE,non_independent_article_commentary,Manoel,2026-06-02,"Comentário crítico a outro artigo, sem pesquisa independente; preservar no corpus, mas excluir da análise principal."
S0101-33002006000100018,Errata,Novos estudos CEBRAP,2006,brief-report,TRUE,errata,Manoel,2026-06-02,"Errata; preservar no corpus, mas excluir da análise principal."
S0101-33002015000300229,ACERVO EM PAUTA: AS EDIÇÕES DE PARTITURAS DO ACERVO PIXINGUINHA,Novos estudos CEBRAP,2015,undefined,TRUE,out_of_scope_non_research_note,Manoel,2026-06-02,"Nota de acervo/música fora do escopo de artigos de pesquisa em ciência política; preservar no corpus, mas excluir da análise principal."
S0102-85292005000200008,Le conseil de sécurité dans l'après 11 septembre,Contexto Internacional,2005,research-article,TRUE,non_research_book_review,Manoel,2026-06-16,"Resenha crítica de livro de Serge Sur; preservar no corpus e nas classificações já geradas, mas excluir da análise principal."
S0101-33002006000200005,Leituras em competição,Novos estudos CEBRAP,2006,research-article,TRUE,incomplete_serialized_article_for_integral_reading,Manoel,2026-07-10,"A unidade publicada termina editorialmente com '(continua)'. A fonte canônica tem 8.917 palavras e status PASS, mas o modelo recusou duas vezes declarar leitura integral; preservar no corpus e excluir da análise principal sem forçar classificação."
S0104-62762005000200008,Tendências (Encarte),Opinião Pública,2005,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762006000100008,Tendências (Encarte),Opinião Pública,2006,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762006000200009,Tendências (Encarte),Opinião Pública,2006,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762008000100009,Tendências,Opinião Pública,2008,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762009000200009,Tendências,Opinião Pública,2009,rapid-communication,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762010000200011,Tendências,Opinião Pública,2010,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762011000100009,Tendências,Opinião Pública,2011,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762012000200013,TENDÊNCIAS,Opinião Pública,2012,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762005000100009,Encarte de Dados de Opinião Pública - Ano 11 nº 1,Opinião Pública,2005,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762008000200010,Tendências (Encarte),Opinião Pública,2008,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762009000100010,Encarte de Dados,Opinião Pública,2009,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762010000100010,Tendências (Encarte),Opinião Pública,2010,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762012000100012,Tendências (Encarte),Opinião Pública,2012,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762013000100010,Tendências (Encarte),Opinião Pública,2013,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762011000200010,Tendências (Encarte),Opinião Pública,2011,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762014000300523,Encarte de dados: Opinião sobre questões de segurança pública e comportamento social,Opinião Pública,2014,research-article,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Encarte editorial de compilação de dados, sem autoria identificada; não constitui artigo acadêmico assinado. Preservar fontes e classificação, mas excluir da base analítica substantiva."
S0104-62762007000100008,Tendências (seção editorial),Opinião Pública,2007,addendum,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Unidade sem autoria identificada, classificada como seção Tendências nos metadados brutos do SciELO; já inelegível pelo tipo documental, registrada também como membro da série editorial."
S0104-62762007000200008,Tendências (seção editorial),Opinião Pública,2007,brief-report,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Unidade sem autoria identificada, classificada como seção Tendências no XML bruto do SciELO; já inelegível pelo tipo documental, registrada também como membro da série editorial."
S0104-62762013000200010,"Os efeitos das manifestações, segundo a população em geral",Opinião Pública,2013,undefined,TRUE,non_article_data_supplement,Manoel,2026-07-18,"Unidade sem autoria identificada, classificada como seção Tendências no XML bruto do SciELO; já inelegível pelo tipo documental, registrada também como membro da série editorial."
