categoria,n,percent
Misto / estatística descritiva,74,29.7
Somente quantitativo / modelagem estatística,52,20.9
Misto / modelagem estatística,42,16.9
Somente qualitativo / sem análise quantitativa,41,16.5
Não empírico / sem análise quantitativa,22,8.8
Somente quantitativo / estatística descritiva,10,4
Misto / testes bivariados/correlação,7,2.8
Somente quantitativo / testes bivariados/correlação,1,0.4
