method_class,method_type,n
broad_other_modern_causal_method,other_modern_causal_method,2
diagnostic_not_design,observational_regression_with_causal_claim_no_design,69
diagnostic_not_design,none_detected,48
diagnostic_not_design,fixed_effects_causal_panel_claim,7
strict_design_method,difference_in_differences,4
strict_design_method,experiment_survey,3
strict_design_method,matching_or_weighting,3
strict_design_method,regression_discontinuity,2
strict_design_method,dag_or_formal_causal_graph,1
strict_design_method,event_study,1
strict_design_method,experiment_field,1
strict_design_method,experiment_list,1
strict_design_method,instrumental_variables,1
strict_design_method,synthetic_control,1
