year,manifest_n,classified_n,remaining_n,percent_classified
2005,168,12,156,7.1
2006,255,0,255,0
2007,279,8,271,2.9
2008,280,10,270,3.6
2009,293,9,284,3.1
2010,287,9,278,3.1
2011,326,10,316,3.1
2012,346,10,336,2.9
2013,328,16,312,4.9
2014,340,14,326,4.1
2015,313,13,300,4.2
2016,307,21,286,6.8
2017,328,16,312,4.9
2018,313,18,295,5.8
2019,312,17,295,5.4
2020,351,13,338,3.7
2021,320,15,305,4.7
2022,305,17,288,5.6
2023,327,52,275,15.9
2024,307,43,264,14
2025,379,77,302,20.3
