categoria,tipo_de_evidencia,tipo_de_analise_quantitativa,n,percent
Misto / estatística descritiva,Misto,estatística descritiva,112,28.1
Somente qualitativo / sem análise quantitativa,Somente qualitativo,sem análise quantitativa,95,23.8
Somente quantitativo / modelagem estatística,Somente quantitativo,modelagem estatística,67,16.8
Não empírico / sem análise quantitativa,Não empírico,sem análise quantitativa,57,14.3
Misto / modelagem estatística,Misto,modelagem estatística,44,11
Somente quantitativo / estatística descritiva,Somente quantitativo,estatística descritiva,13,3.3
Misto / testes bivariados/correlação,Misto,testes bivariados/correlação,7,1.8
Somente quantitativo / testes bivariados/correlação,Somente quantitativo,testes bivariados/correlação,4,1
