pid,year,journal_title,tambem_tem_metodo_estrito,titulo,evidencia
S1981-38212023000100203,2023,Brazilian Political Science Review,Sim,"Better Incentives, Better Marks: A Synthetic Control Evaluation o...",SCM is employed in this investigation to overcome this limitation.
S1981-38212023000200204,2023,Brazilian Political Science Review,Sim,From the Specific to the Diffuse: the Indirect Effect of Crime Vi...,"This strategy consists of three main steps. First, I run several matching estimations t..."
