screen,razao,n,percent
Fora do screen,Quantitativo descritivo,114,28.6
Entra no screen,Modelagem estatística,96,24.1
Fora do screen,Somente qualitativo,95,23.8
Fora do screen,Não empírico,57,14.3
Entra no screen,Desenho causal explícito,14,3.5
Entra no screen,Alegação causal + análise quantitativa,12,3
Entra no screen,Bivariado/correlação,11,2.8
