journal_title,manifest_n,classified_n,remaining_n,percent_classified
Brazilian Political Science Review,268,268,0,100
Cadernos Gestão Pública e Cidadania,120,120,0,100
Contexto Internacional,456,11,445,2.4
Dados,622,0,622,0
Lua Nova: Revista de Cultura e Política,511,0,511,0
Novos estudos CEBRAP,582,0,582,0
Opinião Pública,464,0,464,0
Revista Brasileira de Ciência Política,391,0,391,0
Revista Brasileira de Ciências Sociais,708,0,708,0
Revista Brasileira de Política Internacional,490,0,490,0
Revista de Sociologia e Política,638,0,638,0
