pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_text_bytes,body_char_count,body_word_count,canonical_gold_input_hash,body_hash_matches_gold_input_hash,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,agent_a_prompt_version,agent_b_prompt_version,agent_c_prompt_version,agent_d_prompt_version
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002","Economic fundamentals, financial markets, and voting preferences: the 1994, 1998, and 2002 Brazilian presidential elections",Lucio Rennó; Anthony P. Spanakos,2006,0011-5258,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582006000100002.md,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,50214,48648,7488,fa779440b1c8f2d875c696a70338512404c8cca6b40fec11cc727d6bca49f02b,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000100002&tlng=pt,2026-06-03T23:06:03Z,929,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica","Max Weber, multiple modernities and the re-orientation of social theory",Wolfgang Knöbl,2006,1678-4588,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582006000300002.md,d0b2e162a4cf0fc32f2bb1776d01cb156ada542a47082d2ba2e6be5836378753,52793,51115,7827,3870fe4f4af0d133002a4e4cd051dcde394b16cf4de2053ca612abcb09a0d0ba,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000300002&tlng=pt,2026-06-03T23:06:03Z,715,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,The concept of federalism and the notion of interest in 19th century Brazil,Ivo Coser,2008,0011-5258,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582008000400005.md,c663689e29439cdcae2be5d663b353813bdea33ae18dd400a8404ec5f3b2a776,85471,83078,12968,fbf731dd79898c38256c0060333791925e36982fac610ea6204b4abd3c7362e1,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&tlng=pt,2026-06-03T23:06:03Z,644,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Linguistic contextualism in the history of politic thought: Quentin Skinner and the contemporary methodological debate,Ricardo Silva,2010,0011-5258,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582010000200002.md,6c2ee07c6d64137229346da11cdeb115f44ac794ef54cded5ca5d019b9711313,68979,66881,10176,9ee5d28bda03fd7f8c15d5be90278903b9288ea341fca0a7009f79d04519c382,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000200002&tlng=pt,2026-06-03T23:06:03Z,840,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582010000300002,Construção democrática e modelos de Constituição,Democracy-building and constitutional models,Rogério Bastos Arantes; Cláudio Gonçalves Couto,2010,1678-4588,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582010000300002.md,121b3b7589b0f8e7eba0b39cc659f642526535a80d1ee34aca4f18825847bcc0,79727,77154,11225,2cef691dec3b63410a3e54a2b456896aed90ceecd7abb19a68f35443d4cc0d88,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000300002&tlng=pt,2026-06-03T23:06:03Z,794,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582011000100004,Welfare state e desenvolvimento,Welfare state e desenvolvimento,Celia Lessa Kerstenetzky,2011,1678-4588,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582011000100004.md,58e941253fc6a43a4554d8ba846c05e342c11f61f4d328317a31456cac07790b,55452,53707,7790,6315652ec3e5c8843f7291acfa4b296ad4cd37cb3c31634c8019febff9cc6602,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582011000100004&tlng=pt,2026-06-03T23:06:03Z,517,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,The high school students and Sciences Po: between the meritocracy and the perception of inequality,Marco Oberti; Agathe Voisin,2013,0011-5258,Dados,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582013000100006.md,eb84717042d758315e7bfd4699d7c37f77a9155db81ef693a2157584422fe877,60440,58568,8921,1cff4816d6626e741fc1f0a3df253dd623abd556bdda06e6e84461e5eb7b0692,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582013000100006&tlng=pt,2026-06-03T23:06:04Z,861,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington","Continuity, Rupture or Recycling? An Analysis of the Political Agenda of the World Bank after the Washington Consensus",João Márcio Mendes Pereira,2015,1678-4588,Dados,10.1590/00115258201550,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582015000200461.md,8ce4219c5aa10d661c7d114ae92f7825a07979562b4bffbcce8a717270ddecac,72987,70680,10738,c3770c61811716788b12932c52ee017575a89e18e31def5ad01c0f4cb483fbb1,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000200461&tlng=pt,2026-06-03T23:06:04Z,991,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,Organizing Disorder: Raízes do Brasil in 1936,Luiz Feldman,2015,0011-5258,Dados,10.1590/00115258201568,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582015000401131.md,3e194fcc1bebe85e21ba3f74f872b3abb17cb032416cbee1d4025b86c6102a2b,83207,79759,12412,61923715e89bc588c5e66fd5bb34aaa7a92aecfb6ec12239edbbbf0a97604894,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000401131&tlng=pt,2026-06-03T23:06:04Z,924,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,The Brazilian Press and its &#8220;Moral Crusades&#8221;: An Analysis of Several Cases under President Getúlio Vargas&#8217; Second Term and President Lula da Silva&#8217;s First Term,Ariel Goldstein,2017,1678-4588,Dados,10.1590/001152582017124,research-article,es,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582017000200395.md,d822081610c5da151412aa8a65fa6ff3d9138a891015aa7e8f80cc4aa394739d,79300,76886,12245,bd9002c9a348ef9163f81e6a4df979a7e55fc1e9b0e91df93378f65497afefe1,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582017000200395&tlng=es,2026-06-03T23:06:04Z,927,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,Social Security and the Construction of Labor Protection in Brazil,Arnaldo Provasi Lanzara,2018,1678-4588,Dados,10.1590/001152582018158,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582018000200463.md,4ac1fd28a264747ba1ace1acbb401587654a2ca16277e4c109feb21e19e648ff,76844,74250,11089,b306e54d35a283e47e7b6f1493376509a555a8d150835b458a84d23af60524ca,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582018000200463&tlng=pt,2026-06-03T23:06:04Z,1087,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,Between Deinstitutionalization and Resilience: Institutional Participation in the Bolsonaro Administration,Carla de Paiva Bezerra; Debora Rezende de Almeida; Adrian Gurza Lavalle; Monika Dowbor,2024,1678-4588,Dados,10.1590/DADOS.2024.67.4.339,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582024000400209.md,fd2b45b84af03759cdc0cf1967ed4815da8b35702939f45f2fd6bf4c5e951ae9,93961,90632,13321,c3c0117b00d3bf9703be353602d7de1f37ca3ce2d3175338c352fd6ba6ab1776,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&tlng=pt,2026-06-03T23:06:04Z,1270,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
