issn,title,subject_areas
2675-312X,ABC Imagem Cardiovascular,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; en; es; pt
0102-6720,ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo),GASTROENTEROLOGY & HEPATOLOGY; Health Sciences; SURGERY; en; pt
1678-5320,ARS (São Paulo),"ART; Linguistics, Letters and Arts; pt"
0044-5967,Acta Amazonica,AGRONOMY; Agricultural Sciences; BIOLOGY; Biological Sciences; Exact and Earth Sciences; Health Sciences; ZOOLOGY; en; es; pt
0102-3306,Acta Botanica Brasilica,Biological Sciences; PLANT SCIENCES; en; es; pt
0102-8650,Acta Cirúrgica Brasileira,Health Sciences; SURGERY; en; es; pt
2179-975X,Acta Limnologica Brasiliensia,Biological Sciences; LIMNOLOGY; en; pt
1413-7852,Acta Ortopédica Brasileira,Health Sciences; ORTHOPEDICS; en; es; pt
0103-2100,Acta Paulista de Enfermagem,Health Sciences; NURSING; en; es; fr; pt
1807-8621,Acta Scientiarum. Agronomy,AGRONOMY; Agricultural Sciences; en
1807-8672,Acta Scientiarum. Animal Sciences,Agricultural Sciences; VETERINARY SCIENCES; en; es; pt
2523-3106,Advances in Rheumatology,Health Sciences; RHEUMATOLOGY; en; es; pt
2675-9462,Advances in Weed Science,AGRONOMY; Agricultural Sciences; en; es; pt
0002-0591,Afro-Ásia,ANTHROPOLOGY; ASIAN STUDIES; HISTORY; Human Sciences; SOCIAL ISSUES; en; es; fr; pt
1517-106X,Alea: Estudos Neolatinos,"LITERATURE, ROMANCE; Linguistics, Letters and Arts; en; es; fr; it; pt"
1981-5794,Alfa: Revista de Linguística (São José do Rio Preto),"LANGUAGE & LINGUISTICS; LINGUISTICS; Linguistics, Letters and Arts; en; es; fr; pt"
2236-4633,Almanack,"HISTORY; HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; pt"
1414-753X,Ambiente & Sociedade,Applied Social Sciences; Biological Sciences; ENVIRONMENTAL STUDIES; Human Sciences; en; es; pt
1678-8621,Ambiente Construído,"ARCHITECTURE; CONSTRUCTION & BUILDING TECHNOLOGY; ENGINEERING, CIVIL; Engineering; en; es; pt"
0365-0596,Anais Brasileiros de Dermatologia,DERMATOLOGY; Health Sciences; en; es; pt
0001-3765,Anais da Academia Brasileira de Ciências,Agricultural Sciences; Biological Sciences; Engineering; Exact and Earth Sciences; Health Sciences; Human Sciences; MULTIDISCIPLINARY SCIENCES; en; es; pt
0071-1276,Anais da Escola Superior de Agricultura Luiz de Queiroz,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; pt"
0301-8059,Anais da Sociedade Entomológica do Brasil,"AGRICULTURE, MULTIDISCIPLINARY; Biological Sciences; en; es; pt"
0101-4714,Anais do Museu Paulista: História e Cultura Material,"Applied Social Sciences; HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; fr; it; pt"
1984-3143,Animal Reproduction,Agricultural Sciences; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; es; pt
2357-738X,Anuário Antropológico,ANTHROPOLOGY; Human Sciences; en; es; pt
1982-3908,Anuário do Instituto de Geociências,"Exact and Earth Sciences; GEOSCIENCES, MULTIDISCIPLINARY; en; es; pt"
0101-6083,Archives of Clinical Psychiatry (São Paulo),"Health Sciences; MEDICINE, GENERAL & INTERNAL; PSYCHIATRY; en; es; pt"
2359-3997,Archives of Endocrinology and Metabolism,"ENDOCRINOLOGY & METABOLISM; Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
0102-0935,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Agricultural Sciences; VETERINARY SCIENCES; en; pt
0066-782X,Arquivos Brasileiros de Cardiologia,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; en; es; pt
0004-2730,Arquivos Brasileiros de Endocrinologia & Metabologia,ENDOCRINOLOGY & METABOLISM; Health Sciences; en; pt
0004-2749,Arquivos Brasileiros de Oftalmologia,Health Sciences; OPHTHALMOLOGY; en; es; pt
1809-4872,Arquivos Internacionais de Otorrinolaringologia,Health Sciences; OTORHINOLARYNGOLOGY; en; pt
0004-2803,Arquivos de Gastroenterologia,GASTROENTEROLOGY & HEPATOLOGY; Health Sciences; en; pt
