issn,title,subject_areas,is_known_seed,matched_by,article_count
0101-3157,Brazilian Journal of Political Economy,Applied Social Sciences; ECONOMICS; Human Sciences; POLITICAL SCIENCE; en; pt,False,subject_area,1874
0102-6445,Lua Nova: Revista de Cultura e Política,CULTURAL STUDIES; Human Sciences; pt,True,seed_list,1267
0034-7612,Revista de Administração Pública,Applied Social Sciences; MANAGEMENT; PUBLIC ADMINISTRATION; en; pt,False,subject_area,1242
0102-6909,Revista Brasileira de Ciências Sociais,Human Sciences; SOCIOLOGY; pt,True,seed_list,1099
0034-7329,Revista Brasileira de Política Internacional,Human Sciences; POLITICAL SCIENCE; en; es; pt,True,subject_area,814
0104-4478,Revista de Sociologia e Política,Human Sciences; POLITICAL SCIENCE; SOCIOLOGY; de; en; pt,False,subject_area,770
0101-3300,Novos estudos CEBRAP,"HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; pt",True,seed_list,728
0011-5258,Dados,"Human Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; en; fr; pt",True,seed_list,686
0102-8529,Contexto Internacional,Human Sciences; INTERNATIONAL RELATIONS; en; pt,False,subject_area,565
1519-6089,Civitas - Revista de Ciências Sociais,ANTHROPOLOGY; Human Sciences; POLITICAL SCIENCE; SOCIOLOGY; en; es,False,subject_area,550
0104-6276,Opinião Pública,COMMUNICATION; Human Sciences; POLITICAL SCIENCE; fr; pt,True,subject_area,509
0103-3352,Revista Brasileira de Ciência Política,Human Sciences; POLITICAL SCIENCE; en; es; pt,False,subject_area,468
1981-3821,Brazilian Political Science Review,Human Sciences; POLITICAL SCIENCE; en; pt,True,subject_area,404
2236-5710,Cadernos Gestão Pública e Cidadania,Applied Social Sciences; PUBLIC ADMINISTRATION; en; es; pt,False,subject_area,138
1806-6445,Sur. Revista Internacional de Direitos Humanos,Applied Social Sciences; Human Sciences; POLITICAL SCIENCE; SOCIAL ISSUES; en; es; pt,False,subject_area,106
