pid,title,title_en,authors,affiliations,year,issn,journal_title,abstract_pt,abstract_en,doi,document_type,language,has_fulltext_xml
S0011-52582017000300825,"Científicos Periféricos, entre Ariel e Calibán: Saberes Institucionais e Circuitos de Consagração nas Publicações dos Pesquisadores do CONICET na Argentina","Peripheral Scientists, between Ariel and Caliban. Institutional Know-how and Circuits of Recognition in Argentina. The Publications of the researchers at CONICET",Fernanda Beigel,"Universidad Nacional de Cuyo, Argentina",2017,1678-4588,Dados,"RESUMO A Argentina possui um campo científico dinâmico, predominantemente público, que triplicou a quantidade de pesquisadores em tempo integral na última década e repatriou mais de mil pesquisadores argentinos que haviam emigrado em épocas de crise. Paralelamente, no entanto, aprofundou-se a polarização entre os cientistas internacionalizados e aqueles de orientação mais endógena. Ainda que tendências autônomas e heterônomas convivam em todo o campo, foram consolidados circuitos segmentados de consagração, os quais evidenciam a disputa entre dois tipos de prestígio: um internacional versus outro local/nacional. Na primeira parte desse artigo, analisamos a morfologia desta elite acadêmica bifronte e descrevemos as suas formas de produção e circulação. Na segunda parte, concentramo-nos no perfil internacionalizado, através de um estudo empírico das publicações &#8220;mais relevantes&#8221; escolhidas por pesquisadores do Consejo de Investigaciones Científicas y Técnicas (CONICET) quando se solicita promoção.","ABSTRACT Argentina is a dynamic scientific field, dominantly public, having witnessed a three-fold growth in the number of full-time researchers over the past decade and the repatriation of over one thousand researchers that had emigrated in times of crisis. Meanwhile, there has been a simultaneous deepening of the polarization between internationalized scientists and those with a more endogenous orientation. Although autonomous and heteronymous trends coexist throughout the field, segmented scientific circuits have been consolidated revealing the dispute between two types of prestige: one international and the other local/national. In the first part of this article, I analyze the morphology of this double-faceted academic elite, describing its styles of production and circulation. In the second part, I focus on the internationalized profile, by means of an empirical study on the publications considered to be the &#8220;most relevant&#8221; by researchers on the National Scientific and Technical Research Council (CONICET) when seeking for promotion.",10.1590/001152582017136,research-article,es,1
S0011-52582020000100200,Um Pensador da Democracia: A Ciência Política de Wanderley Guilherme dos Santos,A DEMOCRACY THINKER: AN INTRODUCTION TO WANDERLEY GUILHERME DOS SANTOS´ POLITICAL SCIENCE,Christian Edward Cyril Lynch,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, Brasil; Fundação Casa de Rui Barbosa, Brasil; Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro, Brasil; Instituto de Estudos Sociais e Políticos, Universidade do Estado do Rio de Janeiro, Brasil; Universidade Veiga de Almeida, Brasil",2020,0011-5258,Dados,"RESUMO O presente artigo apresenta uma visão lógico-sistemática do conjunto da ciência política de Wanderley Guilherme dos Santos. Justifica-se a empreitada pela importância de sua obra na fundação e desenvolvimento da nova ciência política brasileira desde a década de 1960, e na carência de estudos de maior fôlego a respeito dela. São examinados quatro pontos de sua ciência política: 1) Filosofia social, em suas dimensões ontológica e epistemológica; 2) Teoria política, descrevendo o papel dos clássicos e dos modernos; 3) Teoria da mudança política, contando com uma tipologia de regimes, suas modalidades de trânsito de um para outro, bem como as hipóteses de reforma e ruptura; e 4) Teoria da democracia, contemplada em suas três dimensões: integração, participação e redistribuição. Espera-se que o presente texto sirva de ponto de partida para futuros aprofundamentos de cada um dos itens referidos.","ABSTRACT This article presents a logical and systematic view of Wanderley Guilherme dos Santos´ body of work in Political Science. The endeavor is justified by the importance of his work in the foundation and development of the new Brazilian Political Science since the 1960s, and furthermore in the lack of deeper studies about it. We will examine four points of his Political Science: 1) Social Philosophy, in its ontological and epistemological dimensions; 2) Political Theory, describing the role of classics and moderns; 3) Theory of political change, relying on a typology of regimes, their modes of transit from one to another, as well as the hypotheses of reform and rupture; and 4) Democracy theory, covering its three dimensions: integration, participation, and redistribution. The goal is for this article to serve as a starting point for further studies of each one of the issues addressed.",10.1590/001152582020002,research-article,pt,1
S0011-52582020000100201,Desigualdades e Interações de Classe Social na Saúde no Brasil,CLASS INEQUALITIES AND INTERACTIONS IN THE BRAZILIAN HEALTH SECTOR,José Alcides Figueiredo Santos,"Programa de Pós-Graduação em Ciências Sociais, Universidade Federal de Juiz de Fora, Brasil",2020,0011-5258,Dados,"RESUMO O artigo investiga as relações entre classe social e desigualdade de saúde no Brasil usando dados da PNS 2013. Por meio de modelos logísticos, probabilidades preditas e efeitos marginais médios são estimados na autoavaliação da saúde. Demonstra-se o papel destacado da estrutura de classes na hierarquização da distribuição da saúde. A análise temporal com dois indicadores socioeconômicos confirma uma piora de saúde para todos os grupos no período de 2003 a 2013. Na década ocorre certa queda da desigualdade proporcional e aumento da desigualdade absoluta. As relações da autoavaliação da saúde com indicadores de saúde mostram que a variável retrata aspectos amplos da distribuição da saúde entre as categorias de classe. Os contextos de classe importam na conversão de renda em ganhos de saúde: quanto melhores são as circunstâncias de classe e o estado preexistente de saúde, tanto menores são os retornos de saúde das elevações de renda. Em transições educacionais representativas as melhoras educacionais geram alterações relativamente modestas na saúde no topo e na base da estrutura social. Nas posições de classe destituídas ocorre um processo mais pronunciado de deterioração absoluta do estado de saúde provocado pela presença de doença crônica.","ABSTRACT The article investigates the relationships between social class and health inequality in Brazil using data from the Brazilian National Health Survey of 2013. Through logistic models, predicted probabilities and average marginal effects are estimated in the health sector self-assessment. The prominent role of class structure in the hierarchy of health distribution is demonstrated. The temporal analysis with two socioeconomic indicators confirms a worsening of health for all groups in the period from 2003 to 2013. In this decade there is a certain fall in proportional inequality and an increase in absolute inequality. The links of health self-assessment with health indicators show that the variable portrays broad aspects of health distribution among class categories. Class contexts matter in converting income to health gains: the better the class circumstances and the pre-existing state of health were, the lower will be the health gains from rising incomes. In representative educational transitions, educational improvements lead to relatively modest changes in the health sector at the top and bottom of the social structure. In destitute class positions, there is a more pronounced process of absolute deterioration of health caused by the presence of chronic disease.",10.1590/001152582020203,research-article,pt,1
S0011-52582020000100202,Com a Palavra os Nobres Deputados: Ênfase Temática dos Discursos dos Parlamentares Brasileiros,THE NOBLE DEPUTIES SPEAK: THEMATIC EMPHASIS OF THE BRAZILIAN PARLIAMENTARIANS´ SPEECHES,Davi Moreira,"Departamento de Ciência, Política da Universidade Federal de Pernambuco, Brasil",2020,1678-4588,Dados,"RESUMO Reconhecendo o discurso como um dos meios pelos quais a política se materializa, este artigo tem o objetivo de responder a seguinte questão: as agendas proferidas pelos parlamentares em discursos no plenário da Câmara dos Deputados são governadas pela relação governo-oposição, assim como constatado sobre sua atuação no processo decisório? Para respondê-la, foi feito uso do expressed agenda model para análise do conteúdo de mais de 127 mil pronunciamentos realizados por mais de 2 mil oradores diferentes ao longo de mais de 15 anos de atividade parlamentar na Câmara dos Deputados (1999-2014). Identificada a ênfase atribuída por cada legislador às agendas econômica e social, a resposta é que não. As conclusões apresentadas aprimoram o conhecimento a respeito do comportamento parlamentar no âmbito da Câmara dos Deputados e indicam a influência de outras variáveis sobre sua atuação como, por exemplo: a ideologia, o gênero e a sua popularidade.","ABSTRACT Recognizing the speech as one of the means through which politics materializes, this article aims to answer the following question: the agendas stated by parliamentarians in speeches in the plenary of the Chamber of Deputies are grounded by the government-opposition relationship, in the same way as observed in the decision-making process? To answer this question, the express agenda model was used in order to analyze the content of more than 127,000 statements made by over 2,000 different speakers during more than 15 years of parliamentary activity in the Chamber of Deputies (1999-2014). Once the emphasis attributed by each legislator to economic and social agendas has been identified, the answer is negative. The conclusions presented enhance the knowledge about parliamentary behavior within the Chamber of Deputies and indicate the influence of other variables on their performance, such as ideology, gender, and popularity.",10.1590/001152582020204,research-article,pt,1
S0011-52582020000100203,Valor Maravilha: Metamorfoses da Acumulação Capitalista no Espaço Portuário do Rio de Janeiro,&#8220;Wonder Value&#8221;: Metamorphoses of Capitalist Accumulation in the Rio de Janeiro Port Region,Guilherme Leite Gonçalves; Sérgio Costa,"Instituto de Estudos Latino-Americanos, Freie Universität, Alemanha; Universidade do Estado do Rio de Janeiro, Brasil",2020,0011-5258,Dados,"RESUMO Diversos autores têm promovido uma renovação da teoria marxista da expansão capitalista por meio da retomada da noção de repetição da acumulação primitiva do capital. Tem-se a ideia de que o desenvolvimento do capitalismo sempre necessita recorrer a um &#8220;fora&#8221; não capitalista, isto é, precisa estender o processo de acumulação a espaços ainda não integrados às cadeias de produção de valor. Para isto, faz uso de violência explícita não econômica, como, por exemplo, a política colonial ou imperial, espoliações, leis sanguinárias etc. No presente artigo, estudamos as diferentes dimensões desse processo à luz da história da região portuária do Rio de Janeiro. Do ponto de vista teórico, isso possibilita repensar as categorias do debate citado a partir do conceito de acumulação entrelaçada, cunhado no artigo. Do ponto de vista empírico, sustentamos que a região portuária do Rio de Janeiro representa uma espécie de espaço-síntese, no interior do qual as diversas etapas históricas da acumulação capitalista aparecem materializadas na forma de um movimento de incorporação e desacoplamento de tal região aos processos de transformação do espaço socialmente construído em mercadoria.","ABSTRACT Several authors have promoted a renewal of the Marxist theory of capitalist expansion by bringing back the notion of repetition of primitive capital accumulation. The idea that the development of capitalism always needs to resort to a non-capitalist &#8220;exterior&#8221; is recurrent, that is, capitalism must extend the process of accumulation to spaces not yet integrated into the value production chains. In this process, it makes use of explicit non-economic violence, such as colonial or imperial politics, spoliation, bloodthirsty laws, etc. In the present article, we study the different dimensions of this process in light of the history of the port region of Rio de Janeiro. From the theoretical point of view, this makes it possible to rethink the categories of this debate starting from the concept of intertwined accumulation, coined in the article. From the empirical point of view, we argue that the Rio de Janeiro port region represents a kind of synthesis space, within which the various historical stages of capitalist accumulation appear materialized in the form of a movement of incorporation and decoupling of such region into the processes of transforming socially constructed spaces into commodities.",10.1590/001152582020201,research-article,pt,1
S0011-52582020000100204,Insegurança Percebida nos Bairros de Santiago do Chile: A Importância do Bem-Estar Subjetivo,Perceived Insecurity In The Neighborhoods of Santiago (capital of Chile): The Importance Of Subjective Well-Being,Maria Luisa Mendez Layera; Gabriel Otero; Vania Perret,"Escola de Sociologia, Universidade de Amsterdã, Holanda; Instituto de Estudios Urbanos y Territoriales, Pontificia Universidad Católica de Chile, Chile; Universidade Diego Portales, Chile",2020,1678-4588,Dados,"RESUMO Neste artigo estudamos os determinantes dos sentimentos de insegurança e o medo do crime em Santiago, Chile. Propomos um enfoque teórico integrador em torno ao conceito de &#8220;bem-estar&#8221;, o qual permite resgatar tanto as dimensões objetivas quanto as subjetivas expostas na literatura, assim como os distintos contextos analisados: individuais e geográficos. Utilizamos dados da Pesquisa COES de Coesão e Conflito dos Bairros e dados georreferenciados no âmbito da área censitária. Os modelos de regressão linear indicam que as variáveis que capturam o bem-estar subjetivo no contexto do bairro são as mais significativas para entender as atitudes estudadas. Especificamente, as percepções de desordem física/social e as experiências de vitimização indireta mostram associações positivas; enquanto as disposições de solidariedade institucional e apego/arraigo com a comunidade mostram associações negativas com os sentimentos de insegurança e o medo ao crime dos residentes. No que diz respeito ao bem-estar objetivo, o capital econômico individual é o único fator que mantém sua significância estatística nas estimações finais. Os fatores objetivos do bairro como os níveis de criminalidade, a concentração da pobreza/riqueza, e os serviços disponíveis da vizinhança, não aparecem como preditores significativos depois de controlar o bem-estar subjetivo no contexto do bairro.","ABSTRACT In this article, we study the determinants of feelings of insecurity and fear of crime in Santiago, Chile. We propose an integrative theoretical approach around the concept of &#8220;well-being&#8221;, which allows us to rescue both the objective and subjective dimensions exposed in the literature, as well as the different contexts analyzed: individual and geographical. We used data from the COES (The Centre for Social Conflict and Cohesion Studies) Neighborhood Cohesion and Conflict Survey and georeferenced data at the census area level. Linear regression models indicate that the variables that capture subjective well-being in the neighborhood context are the most significant for understanding the attitudes studied. Specifically, perceptions of physical/social disorder and experiences of indirect victimization show positive associations; while those of institutional solidarity and attachment to the community show negative associations with residents&#8217; feelings of insecurity and fear of crime. Regarding objective welfare, individual economic capital is the only factor that maintains its statistical significance in the final estimates. Objective neighborhood factors, such as crime levels, poverty/wealth concentration, and available neighborhood services, do not appear as significant predictors after controlling the subjective well-being in the neighborhood context.",10.1590/001152582020200,research-article,es,1
S0011-52582020000100205,Preditores e Impactos da Legitimidade Policial: Testando a Teoria da Justeza Procedimental em São Paulo,Predictors and Impacts of Police Legitimacy: Testing the Theory of Procedural Fairness in São Paulo,Thiago R. Oliveira; André Zanetic; Ariadne Natal,"London School of Economics and Political Science, Reino Unido; Núcleo de Estudos da Violência, Universidade de São Paulo, Brasil; Programa de Pós-Graduação em Sociologia, Universidade Federal da Grande Dourados, Brasil",2020,1678-4588,Dados,"RESUMO Este artigo busca investigar empiricamente os preditores e os impactos da percepção pública de legitimidade policial em São Paulo. O objetivo foi testar o modelo de Tyler a respeito da percepção de justeza procedimental no contexto brasileiro. Utilizamos, assim, dados de um survey representativo de adultos residentes em São Paulo, em 2015. A estratégia analítica adotada envolveu modelagem de equações estruturais para testar o papel mediador dos julgamentos de legitimidade policial entre a expectativa de justeza procedimental por parte da polícia e o comportamento de conformidade legal. Os resultados indicam maior complexidade na mensuração da noção de dever de obedecer no contexto paulistano, em relação ao cenário internacional. A partir de uma análise das respostas espontâneas a respeito da motivação de obediência, sugerimos quatro categorias de legitimidade policial: dever moral de obedecer; desobediência por protesto; obrigação coercitiva; rejeição da autoridade. Essas categorias foram incorporadas no modelo. As duas primeiras, que reconhecem a autoridade policial como legítima, estão associadas à percepção de justeza procedimental e são preditoras significativas do respeito às leis. As outras categorias, que não reconhecem a polícia como legítima, não. Por fim, discutimos algumas considerações a respeito das implicações para as políticas de segurança pública no Brasil.","ABSTRACT This paper seeks to empirically investigate the predictors and the impacts of public perceptions of police legitimacy in São Paulo. The objective was to test Tyler&#8217;s model regarding the perception of procedural fairness in the Brazilian context. Thus, we used data from a representative survey of adults living in São Paulo in 2015. The analytical strategy adopted involved modeling structural equations to test the mediating role of police legitimacy judgments between the expectation of procedural fairness in police actions and legal compliance behavior. The results indicate a greater complexity in measuring the notion of duty to obey in the São Paulo context, in relation to the international scenario. Considering an analysis of spontaneous responses regarding the motivation of obedience, we suggest four categories of police legitimacy: moral duty to obey; disobedience through protest; coercive obligation; rejection of authority. These categories were incorporated into the model. The first two, which recognize police authority as legitimate, are associated with the perception of procedural fairness and are significative predictors of respect for the law. The others, who do not recognize the police as legitimate, are not. Finally, we discuss some considerations regarding the implications of these findings for public security policies in Brazil.",10.1590/001152582020197,research-article,pt,1
S0011-52582020000100206,Dom Helder Câmara e Louis-Joseph Lebret: Desenvolvimentismo e Práxis Progressista Católica nas Décadas de 1950 e 1960,Dom Helder Camara and Louis-Joseph Lebret: Developmentalism and Progressive Catholic Praxis in the 1950s and 1960s,José Henrique Artigas de Godoy,"Centro de Ciências Humanas, Letras e Artes, Universidade Federal da Paraíba, Brasil",2020,0011-5258,Dados,"RESUMO O artigo versa sobre o pensamento e a ação política do arcebispo Dom Helder Câmara e do padre Louis-Joseph Lebret nas décadas de 1950 e 1960. Objetiva-se refletir sobre a formação de uma linhagem progressista do pensamento católico no Brasil, destacando particularmente sua vertente desenvolvimentista. Nesse sentido, acompanham-se as trajetórias dos clérigos, concernindo aspectos biográficos, da formação intelectual, técnica, filosófica e eclesiástica, assim como suas redes de relacionamento, as formas de recepção de suas ideias, suas participações nos debates internos à Igreja e ainda as relações de colaboração com os governos nacional-desenvolvimentistas, revelando suas contribuições para a práxis transformadora que precedeu a gestação de um viés revolucionário da esquerda católica na América Latina, marcante na formação da Teologia da Libertação. O estudo do pensamento dos clérigos ganha relevo contemporâneo em face da recente reabilitação e revalorização de ícones da esquerda católica latino-americana e da retomada da Doutrina Social da Igreja, ensejada na plataforma progressista da gestão do Papa Francisco, que mantém vínculos estreitos com a matriz desenvolvimentista do pensamento católico e com princípios da Teologia da Libertação.","ABSTRACT The article deals with the thought and political action of Archbishop Helder Camara and Priest Louis-Joseph Lebret in the 1950s and 1960s. The goal is to reflect on the formation of a progressive lineage of Catholic thought in Brazil, particularly highlighting its developmental aspect. Thus, the trajectories of these clerics are followed, concerning the following aspects: biographical issues, intellectual, technical, philosophical and ecclesiastical formation, as well as their relationship networks, how their ideas were received, their participation in internal debates in the Church and also their collaborative relations with national-developmental governments, revealing their contributions to the transformative praxis that preceded the gestation of a revolutionary bias of the Catholic left in Latin America, which marked the formation of Liberation Theology. The study of these clerics´ thinking gains contemporary prominence if we take into account the recent rehabilitation and revaluation of icons of the Latin American Catholic left and the resumption of the Church&#8217;s Social Doctrine, based on Pope Francis&#8217; progressive platform, which maintains close ties with the developmental matrix of Catholic thought and certain principles of Liberation Theology.",10.1590/001152582020198,research-article,pt,1
S0011-52582020000200200,O Que Há de Errado com o Igualitarismo de Fortuna?,What&#8217;s Wrong with Equality of Fortune?,Lucas Petroni,"Departamento de Filosofia, Universidade Yale, EUA; Universidade de São Paulo, Brasil",2020,1678-4588,Dados,"RESUMO O objetivo geral do artigo é argumentar que o igualitarismo de fortuna, defendido por autores como Ronald Dworkin, Richard Arneson e G. A. Cohen, é uma forma equivocada de conceber os objetivos do igualitarismo. Para isso, o artigo propõe uma distinção entre dois tipos de críticas ao igualitarismo de fortuna: (i) uma interna e de natureza conceitual, centrada na linha de corte entre escolhas voluntárias e circunstâncias não voluntárias; e (ii) uma crítica igualitária, que tem como objeto o fundamento normativo das teorias da justiça. O artigo argumenta que a crítica igualitária (mas não necessariamente a interna) exige uma mudança de prioridades na agenda de pesquisa sobre justiça distributiva, favorecendo concepções relacionais de igualdade. Finalmente, o artigo utiliza o papel da responsabilidade pessoal nas teorias da justiça como um caso ilustrativo da diferença entre a visão distributiva e a visão relacional do valor moral da igualdade.","ABSTRACT The general purpose of this article is to argue why the &#8220;luck egalitarianism&#8221; or &#8220;equality of fortune&#8221;, advocated by authors such as Ronald Dworkin, Richard Arneson, and G. A. Cohen, is a mistaken way of conceiving the egalitarian ideal. To this end, the article proposes a distinction between two types of criticism of equality of fortune: one internal and conceptual, centered on the cutting line between voluntary choices and non-voluntary circumstances; and an egalitarian critique, whose object is the normative foundation of egalitarian theories. The paper argues that egalitarian (but not necessarily internal) criticism results in a shift in priorities from the egalitarian research agenda. In opposition to the problem of interpersonal exploitation, relational conceptions of equality prioritize the question of how we should conceive the subjects of justice, that is, how we should conceive our normative relations as reciprocally responsible for the creation of a just society. Finally, the article takes the role of personal responsibility in theories of justice as an illustrative case of the difference between the distributive view and the relational view of the moral value of equality.",10.1590/001152582020208,research-article,pt,1
S0011-52582020000200201,Em Torno na Definição de Tortura: A Necessidade e Dificuldade de Conceituar a Produção Ilimitada de Sofrimento,On the Definition of Torture: The Necessity and Difficulty of Conceptualizing the Unlimited Production of Suffering,Ignacio Mendiola,"Departamento de Sociologia 2, Universidade do País Basco, Espanha",2020,0011-5258,Dados,"RESUMO A definição da tortura está longe de ser uma questão simples que poderia se delimitar com clareza pela diferença desta prática punitiva em relação a outro tipo de punições. Os limites da tortura podem ser certamente esquivos em seu exercício por uma desestruturação radical do humano. Para abordar esta questão, este artigo entra neste assunto da caracterização da tortura por meio de um plano duplo. Por uma parte, far-se-á uma leitura crítica da definição mais empregada e que está contida no texto da Convenção contra a tortura e outros tratamentos ou penas cruéis, desumanos ou degradantes, promovida pelas Nações Unidas. Por outro lado, articular-se-á uma proposta de definição construída a partir de três dimensões interconectadas que remetem a captura (vinculada direta ou indiretamente à estrutura público-estatal), ao inabitável (referida à produção de um corpo sofredor sem proteção) e à alteridade (relacionada com as subjetividades não reconhecidas sobre as quais se projeta).","ABSTRACT The definition of torture is far from a simple matter that could be clearly delimited through the difference between this punitive practice and other types of punishment. The limits of torture can certainly be elusive in their pursuit of a radical disruption of the human. To address this issue, this article focuses on the subject of characterizing torture through a dual plan. On the one hand, a critical reading of the most commonly used definition, contained in the text of the Convention against torture and other cruel, inhuman or degrading treatment or punishment, will be taken. On the other hand, we will articulate a definition proposal built from three interconnected dimensions that refer to capture (linked directly or indirectly to the public-state structure), uninhabitable (referred to the production of a suffering body without protection) and alterity (related with the unrecognized subjectivities it is projected upon).",10.1590/001152582020206,research-article,es,1
