pid,file,field,queue_source,excluded_from_analysis,exclusion_reason,decision_status,decision_value,action,old_type,new_type,old_value,new_value,old_json,new_json,reason,reviewer,review_date,decision_note
S0011-52582008000200002,S0011-52582008000200002.json,effort_to_explore_mechanisms,excluded_article_queue,TRUE,non_research_obituary,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,"Excluir da análise principal: homenagem/obituário, não é artigo de pesquisa. Preservar no corpus."
S0011-52582008000200002,S0011-52582008000200002.json,evidence_type,excluded_article_queue,TRUE,non_research_obituary,done,<NULL>,schema_padding_for_excluded_record,null,character,<NULL>,theoretical-normative,"""<NULL>""","""theoretical-normative""",Decisão manual marcou <NULL> para registro excluído da análise; valor schema-válido usado apenas para manter validação do corpus preservado.,Manoel,2026-06-01,Obiturário da ruth Cardoso
S0011-52582008000200002,S0011-52582008000200002.json,method_status,excluded_article_queue,TRUE,non_research_obituary,done,<NULL>,schema_padding_for_excluded_record,null,character,<NULL>,essayistic,"""<NULL>""","""essayistic""",Decisão manual marcou <NULL> para registro excluído da análise; valor schema-válido usado apenas para manter validação do corpus preservado.,Manoel,2026-06-01,Ontiruário da Ruth Cardoso
S0011-52582008000400005,S0011-52582008000400005.json,effort_to_explore_mechanisms,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Texto de Pnsamento Político brasileiro
S0011-52582008000400005,S0011-52582008000400005.json,general_goal_of_analysis,main_queue,FALSE,,done,<NULL>,apply_manual_decision,null,null,<NULL>,<NULL>,"""<NULL>""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2016-06-02,Teoria
S0011-52582008000400005,S0011-52582008000400005.json,single_region,main_queue,FALSE,,done,single_region,apply_manual_decision,logical,character,FALSE,single_region,"""FALSE""","""single_region""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-02,"Teoria, pode ser NULL"
S0011-52582010000200002,S0011-52582010000200002.json,effort_to_explore_mechanisms,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Ensaístico ou Teoria Política
S0011-52582010000200002,S0011-52582010000200002.json,general_goal_of_analysis,main_queue,FALSE,,done,<NULL>,apply_manual_decision,null,null,<NULL>,<NULL>,"""<NULL>""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Teoria ou Normativo ou Pensamento Político
S0011-52582010000300002,S0011-52582010000300002.json,effort_to_explore_mechanisms,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Ensaístico ou Teoria Política
S0011-52582010000300002,S0011-52582010000300002.json,general_goal_of_analysis,main_queue,FALSE,,done,<NULL>,apply_manual_decision,null,null,<NULL>,<NULL>,"""<NULL>""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,"Tipologia teórica. Poderia ser também ""Describe"", já que quer descrever os tipos de constituição. Mas não é empírico."
S0011-52582010000300002,S0011-52582010000300002.json,single_country_study,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,"Tenta fazer tipologia, cita exemplos, mas são ilustrativos."
S0011-52582011000100004,S0011-52582011000100004.json,effort_to_explore_mechanisms,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,TRUE,<NULL>,"""TRUE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Ensaístico ou Teoria Política
S0011-52582011000100004,S0011-52582011000100004.json,general_goal_of_analysis,main_queue,FALSE,,done,<NULL>,apply_manual_decision,null,null,<NULL>,<NULL>,"""<NULL>""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Revisão sistemática
S0011-52582011000100004,S0011-52582011000100004.json,single_country_study,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Sem método declarado ou é ensaio
S0011-52582011000100004,S0011-52582011000100004.json,single_region,main_queue,FALSE,,done,<NULL>,apply_manual_decision,logical,null,FALSE,<NULL>,"""FALSE""","""<NULL>""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-01,Teoria ou Normativo ou Pensamento Político
S0011-52582013000100006,S0011-52582013000100006.json,effort_to_explore_mechanisms,main_queue,FALSE,,done,Mechanisms/Channels Mentioned But Not Explored,apply_manual_decision,logical,character,TRUE,Mechanisms/Channels Mentioned But Not Explored,"""TRUE""","""Mechanisms/Channels Mentioned But Not Explored""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-02,Quali descritivo
S0011-52582013000100006,S0011-52582013000100006.json,general_goal_of_analysis,main_queue,FALSE,,done,Describe,apply_manual_decision,null,character,<NULL>,Describe,"""<NULL>""","""Describe""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-02,Descreve programa da Sciences Po
S0011-52582013000100006,S0011-52582013000100006.json,uses_original_dataset,main_queue,FALSE,,done,original_survey,apply_manual_decision,logical,character,TRUE,original_survey,"""TRUE""","""original_survey""",Decisão manual validada aplicada ao JSON final.,Manoel,2026-06-02,Questionário quali aplicado
