pid,title,authors,year,journal_title,language,url_scielo,source_file,source_file_exists,input_text_hash,input_text_bytes,source_has_body,raw_fulltext_file,raw_fulltext_file_exists,raw_fulltext_hash,raw_fulltext_same_hash,raw_fulltext_has_body,agent_a_prompt_version,agent_b_prompt_version,agent_c_prompt_version
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",Lucio Rennó; Anthony P. Spanakos,2006,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000100002&lng=pt,data/processed/sample_xmls/S0011-52582006000100002.xml,TRUE,1963fb6e32a2faff757d4ccc94fea99b2df795bef8a70e33c8cf6e1e1c9d15d4,21715,FALSE,data/raw/articles_fulltext/S0011-52582006000100002.xml,TRUE,1963fb6e32a2faff757d4ccc94fea99b2df795bef8a70e33c8cf6e1e1c9d15d4,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",Wolfgang Knöbl,2006,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000300002&lng=pt,data/processed/sample_xmls/S0011-52582006000300002.xml,TRUE,3749c8b070f00f7e03395d020557ad540e0a6509089c730120f4a5dc9dca81c1,25052,FALSE,data/raw/articles_fulltext/S0011-52582006000300002.xml,TRUE,3749c8b070f00f7e03395d020557ad540e0a6509089c730120f4a5dc9dca81c1,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,Ivo Coser,2008,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&lng=pt,data/processed/sample_xmls/S0011-52582008000400005.xml,TRUE,33cae9870e5aa5fd722a40a20610be888292854762247173eb98e4a7a0127dda,17771,FALSE,data/raw/articles_fulltext/S0011-52582008000400005.xml,TRUE,33cae9870e5aa5fd722a40a20610be888292854762247173eb98e4a7a0127dda,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Ricardo Silva,2010,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000200002&lng=pt,data/processed/sample_xmls/S0011-52582010000200002.xml,TRUE,2d5b4d01049f20a0c0ec8ac1ff61f85eb6b1719198778bde807e40f2df4f074d,38741,FALSE,data/raw/articles_fulltext/S0011-52582010000200002.xml,TRUE,2d5b4d01049f20a0c0ec8ac1ff61f85eb6b1719198778bde807e40f2df4f074d,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582010000300002,Construção democrática e modelos de Constituição,Rogério Bastos Arantes; Cláudio Gonçalves Couto,2010,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000300002&lng=pt,data/processed/sample_xmls/S0011-52582010000300002.xml,TRUE,b665bb59d008d07f8f52589c6ff57e6d138779ac8416439296c0e217cabe644a,26648,FALSE,data/raw/articles_fulltext/S0011-52582010000300002.xml,TRUE,b665bb59d008d07f8f52589c6ff57e6d138779ac8416439296c0e217cabe644a,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582011000100004,Welfare state e desenvolvimento,Celia Lessa Kerstenetzky,2011,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582011000100004&lng=pt,data/processed/sample_xmls/S0011-52582011000100004.xml,TRUE,e95f3d86a80e8906eecd04ded5982d09024dcac02fc2f09148eb2ebb153c08cb,19990,FALSE,data/raw/articles_fulltext/S0011-52582011000100004.xml,TRUE,e95f3d86a80e8906eecd04ded5982d09024dcac02fc2f09148eb2ebb153c08cb,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,Marco Oberti; Agathe Voisin,2013,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582013000100006&lng=pt,data/processed/sample_xmls/S0011-52582013000100006.xml,TRUE,2d1c2a01124b589102e12e24a591c599db0c4721704bdddc2cb2546bcacab4d0,17288,FALSE,data/raw/articles_fulltext/S0011-52582013000100006.xml,TRUE,2d1c2a01124b589102e12e24a591c599db0c4721704bdddc2cb2546bcacab4d0,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",João Márcio Mendes Pereira,2015,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000200461&lng=pt,data/processed/sample_xmls/S0011-52582015000200461.xml,TRUE,e622f1df77523b702ec52f31bc8320b8356551a98e3cd9369047f310b81c5a07,41359,FALSE,data/raw/articles_fulltext/S0011-52582015000200461.xml,TRUE,e622f1df77523b702ec52f31bc8320b8356551a98e3cd9369047f310b81c5a07,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,Luiz Feldman,2015,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000401131&lng=pt,data/processed/sample_xmls/S0011-52582015000401131.xml,TRUE,a106f74bf062c3c0f079f0359dd94e6d842b172b8f1f06566577e8461f59fafa,29324,FALSE,data/raw/articles_fulltext/S0011-52582015000401131.xml,TRUE,a106f74bf062c3c0f079f0359dd94e6d842b172b8f1f06566577e8461f59fafa,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,Ariel Goldstein,2017,Dados,es,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582017000200395&lng=pt,data/processed/sample_xmls/S0011-52582017000200395.xml,TRUE,3ab9daa4ac83c0a370aa063f92586d25f758784bce4562f82a9b48e27ee29b66,18945,FALSE,data/raw/articles_fulltext/S0011-52582017000200395.xml,TRUE,3ab9daa4ac83c0a370aa063f92586d25f758784bce4562f82a9b48e27ee29b66,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
