journal,sjr_rank,n_explanatory_quantitative,design_based_percent,design_based_se,design_based_excluding_survey_percent,design_based_excluding_survey_se,source
Quarterly Journal of Political Science,10,131,64.9,0.04,62,0.04,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Political Science Research and Methods,16,234,58.5,0.03,47,0.04,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
American Political Science Review,1,655,56.8,0.02,50.8,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Political Behavior,13,773,52.7,0.02,34.9,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Public Opinion Quarterly,19,336,52.4,0.03,28.4,0.03,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
American Journal of Political Science,2,973,47,0.02,39.2,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Journal of Politics,7,1348,45.4,0.01,36.3,0.01,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Political Communication,18,339,43.7,0.03,27.9,0.03,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
British Journal of Political Science,9,655,37.7,0.02,28.3,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
World Politics,5,187,36.9,0.04,33.7,0.04,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
International Organization,3,287,34.1,0.03,26.6,0.03,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Journal of Conflict Resolution,11,867,32.8,0.02,26.1,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Comparative Political Studies,8,870,32.6,0.02,25.8,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Political Analysis,4,247,32.4,0.03,24.1,0.03,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Journal of Peace Research,12,707,27.2,0.02,22.5,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Journal of Public Administration Research and Theory,6,482,26.3,0.02,19.2,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
International Studies Quarterly,15,740,24.6,0.02,17.9,0.01,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
European Journal of Political Research,14,613,21,0.02,14,0.01,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
Journal of European Public Policy,20,398,19.3,0.02,13.2,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
European Union Politics,17,431,18.1,0.02,12.2,0.02,"Torreblanca et al. (2026), Supplementary Table: Design-based share by journal"
