pid,title,journal_title,exclusion_reason
S0104-62762005000100009,"Encarte de Dados de Opinião Pública - Ano 11, n&ordm; 1",Opinião Pública,non_article_data_supplement
S0104-62762005000200008,NA,Opinião Pública,non_article_data_supplement
S0104-62762006000100008,NA,Opinião Pública,non_article_data_supplement
S0104-62762006000200009,NA,Opinião Pública,non_article_data_supplement
S0104-62762008000100009,Tendências,Opinião Pública,non_article_data_supplement
S0104-62762008000200010,NA,Opinião Pública,non_article_data_supplement
S0104-62762009000100010,Encarte de Dados,Opinião Pública,non_article_data_supplement
S0104-62762010000100010,NA,Opinião Pública,non_article_data_supplement
S0104-62762010000200011,Tendências,Opinião Pública,non_article_data_supplement
S0104-62762011000100009,Tendências,Opinião Pública,non_article_data_supplement
S0104-62762012000100012,NA,Opinião Pública,non_article_data_supplement
S0104-62762012000200013,TENDÊNCIAS,Opinião Pública,non_article_data_supplement
S0104-62762013000100010,NA,Opinião Pública,non_article_data_supplement
