pid,journal_title
S0102-64452005000100005,Lua Nova: Revista de Cultura e Política
S0102-64452005000100006,Lua Nova: Revista de Cultura e Política
S0102-64452005000100008,Lua Nova: Revista de Cultura e Política
S0102-64452005000100009,Lua Nova: Revista de Cultura e Política
S0102-64452005000200002,Lua Nova: Revista de Cultura e Política
S0102-64452005000200003,Lua Nova: Revista de Cultura e Política
S0102-64452005000200004,Lua Nova: Revista de Cultura e Política
S0102-64452005000200005,Lua Nova: Revista de Cultura e Política
S0102-64452005000200006,Lua Nova: Revista de Cultura e Política
S0102-64452006000100002,Lua Nova: Revista de Cultura e Política
S0102-64452006000100003,Lua Nova: Revista de Cultura e Política
S0102-64452006000100004,Lua Nova: Revista de Cultura e Política
S0102-64452006000100005,Lua Nova: Revista de Cultura e Política
S0102-64452006000100006,Lua Nova: Revista de Cultura e Política
S0102-64452006000100007,Lua Nova: Revista de Cultura e Política
S0102-64452006000100008,Lua Nova: Revista de Cultura e Política
S0102-64452006000200002,Lua Nova: Revista de Cultura e Política
S0102-64452006000200003,Lua Nova: Revista de Cultura e Política
S0102-64452006000200004,Lua Nova: Revista de Cultura e Política
S0102-64452006000200005,Lua Nova: Revista de Cultura e Política
S0102-64452006000200006,Lua Nova: Revista de Cultura e Política
S0102-64452006000200007,Lua Nova: Revista de Cultura e Política
S0102-64452006000200008,Lua Nova: Revista de Cultura e Política
S0102-64452006000300002,Lua Nova: Revista de Cultura e Política
S0102-64452006000300003,Lua Nova: Revista de Cultura e Política
S0102-64452006000300004,Lua Nova: Revista de Cultura e Política
S0102-64452006000300006,Lua Nova: Revista de Cultura e Política
S0102-64452006000300007,Lua Nova: Revista de Cultura e Política
S0102-64452006000300008,Lua Nova: Revista de Cultura e Política
S0102-64452006000400002,Lua Nova: Revista de Cultura e Política
S0102-64452006000400003,Lua Nova: Revista de Cultura e Política
S0102-64452006000400004,Lua Nova: Revista de Cultura e Política
S0102-64452006000400005,Lua Nova: Revista de Cultura e Política
S0102-64452006000400006,Lua Nova: Revista de Cultura e Política
S0102-64452006000400007,Lua Nova: Revista de Cultura e Política
S0102-64452006000400008,Lua Nova: Revista de Cultura e Política
S0102-64452007000100003,Lua Nova: Revista de Cultura e Política
S0102-64452007000100004,Lua Nova: Revista de Cultura e Política
S0102-64452007000100005,Lua Nova: Revista de Cultura e Política
S0102-64452007000100006,Lua Nova: Revista de Cultura e Política
