pid,title,journal_title,year,period_3,eligible_order
S0102-85292020000300569,"A Relação entre Organizações Regionais, Consolidação da Democracia e Segurança Cidadã: Os Casos do SICA e da UNASUL",Contexto Internacional,2020,2019-2025,700
S0102-85292020000300597,Bancos Multilaterais de Desenvolvimento: Mandato Contra-cíclico e Restrições Financeiras,Contexto Internacional,2020,2019-2025,701
S0102-85292020000300621,Brexit e a (Des)Integração Europeia Diferenciada,Contexto Internacional,2020,2019-2025,702
S0102-85292020000300647,"Cooperação Internacional, Homossexualidade e AIDS em Moçambique",Contexto Internacional,2020,2019-2025,703
S0102-85292020000300665,"Perspectivas do Sul Global sobre Stonewall após 50 anos, Parte I&#8212;Sul pelo Sul, Trans por Trans",Contexto Internacional,2020,2019-2025,704
S0102-85292020000300685,"Perspectivas do Sul Global sobre Stonewall após 50 anos, Parte II&#8212; Stonewalls Brasileiros: Política Radical e Ativismo Lésbico",Contexto Internacional,2020,2019-2025,705
S0102-85292021000100009,Construindo Espaços no Sul Global: Lições do Acordo GCC-Mercosul,Contexto Internacional,2021,2019-2025,706
S0102-85292021000100033,Regionalismo Americano e Discurso Diplomático Brasileiro (1946-2019),Contexto Internacional,2021,2019-2025,707
S0102-85292021000100055,Uma Teoria de Estabilidade Hegemônica para o Regionalismo Sul-Americano? Evidências do Caso do Brasil na UNASUL e da Venezuela na ALBA,Contexto Internacional,2021,2019-2025,708
S0102-85292021000100077,"Recursos Naturais, Infraestrutura Crítica e Segurança Energética: Objetos Referentes Securitizados em Documentos de Defesa Brasileiros?",Contexto Internacional,2021,2019-2025,709
S0102-85292021000100099,Colocando em Xeque os Movimentos Brasileiros no Tabuleiro de Xadrez Climático,Contexto Internacional,2021,2019-2025,710
S0102-85292021000100147,Do Panda ao Dragão: Uma Análise das Ações e Reações Marítimas da China no Leste do Mar da China desde 2012 e Suas Implicações,Contexto Internacional,2021,2019-2025,711
S0102-85292021000100173,Regulação da Conta Capital e Autonomia Nacional: A Economia Política da Nova Economia do Bem-Estar,Contexto Internacional,2021,2019-2025,712
S0102-85292021000200235,Securitizando a COVID- 19? A política de saúde global e os limites da Escola de Copenhagen,Contexto Internacional,2021,2019-2025,713
S0102-85292021000200259,Políticas Climáticas e a Crise da Ordem Internacional Liberal,Contexto Internacional,2021,2019-2025,714
S0102-85292021000200283,Reconfiguração Sistêmica do Capitalismo: Aplicando a Crítica de Ruggie à Waltz na Economia,Contexto Internacional,2021,2019-2025,715
S0102-85292021000200305,Estrutura Multilateral de Facilitação de Investimentos na OMC: Iniciativas e Perspectivas do Sul Global,Contexto Internacional,2021,2019-2025,716
S0102-85292021000200331,As estratégias de desenvolvimento e inserção internacional da África: O Hibridismo da Agenda 2063,Contexto Internacional,2021,2019-2025,717
S0102-85292021000200355,Enfatizando o Problema? Organizações Internacionais e Seu Engajamento na América Latina para Enfrentar a Violência - O Caso da União Europeia no Triângulo Norte,Contexto Internacional,2021,2019-2025,718
S0102-85292021000200381,Repensando os Produtos Fictícios de Polanyi com base no Segmento Nuclear Brasileiro,Contexto Internacional,2021,2019-2025,719
S0102-85292021000200405,A China nas Operações de Paz da ONU: Uma Avaliação de 30 anos (1990-2019),Contexto Internacional,2021,2019-2025,720
S0102-85292021000300439,"Poder Soberano, Governo e a Crise do Liberalismo Global",Contexto Internacional,2021,2019-2025,721
S0102-85292021000300461,&#8220;Atenção ao Hiato&#8221;: Avaliando Diferenças nas Abordagens Metodológicas entre as Revistas Brasileiras e as Principais Publicações de RI,Contexto Internacional,2021,2019-2025,722
S0102-85292021000300489,Explicando as Mudanças na Política Externa Brasileira para a América do Sul sob a Administração de Michel Temer (2016-2018): O Retorno à Lógica do Regionalismo Aberto,Contexto Internacional,2021,2019-2025,723
S0102-85292021000300515,Do Ativismo Municipalista às Mudanças Institucionais: Uma Análise da Dimensão Subnacional no Mercosul (1995-2019),Contexto Internacional,2021,2019-2025,724
S0102-85292021000300541,Investimentos chineses no Brasil: Diplomacia Econômica nas relações bilaterais,Contexto Internacional,2021,2019-2025,725
S0102-85292021000300565,O Crescimento Militar no Sudeste Asiático e no Mar do Sul da China: Quão Relevantes São os Conflitos com a China?,Contexto Internacional,2021,2019-2025,726
S0102-85292022000100900,Perspectivas brasileiras sobre transferência de políticas e cooperação Sul-Sul,Contexto Internacional,2022,2019-2025,727
S0102-85292022000100901,Política Externa e Difusão de Políticas Públicas no Brasil de Lula da Silva (2003-2010),Contexto Internacional,2022,2019-2025,728
S0102-85292022000100902,Política Externa Brasileira e Agricultura Familiar: Processos de Internacionalização através da Análise de &#8216;Fóruns e Arenas&#8217;,Contexto Internacional,2022,2019-2025,729
S0102-85292022000100903,Transferência de Políticas Públicas e Organizações Internacionais: A complexa relação entre o Brasil e o Banco Mundial na implementação do programa Bolsa Família,Contexto Internacional,2022,2019-2025,730
S0102-85292022000100904,Cooperação Sul-Sul através das lentes dos burocratas: transferências de políticas periféricas,Contexto Internacional,2022,2019-2025,731
S0102-85292022000100905,Como os especialistas resistem a um projeto de cooperação para o desenvolvimento? O caso da fábrica de medicamentos genéricos Moçambique-Brasil,Contexto Internacional,2022,2019-2025,732
S0102-85292022000101001,Construindo pontes entre a Teoria da Dependência e a Teoria Crítica Neogramsciana: A relação agência-estrutura como ponto de partida,Contexto Internacional,2022,2019-2025,733
S0102-85292022000101002,Retomando o pensamento crítico: Uma crítica às contribuições teóricas de Andrew Linklater para as Relações Internacionais,Contexto Internacional,2022,2019-2025,734
S0102-85292022000101003,A crítica ainda é possível na Teoria das Relações Internacionais? Um engajamento crítico com a vocação de RI,Contexto Internacional,2022,2019-2025,735
S0102-85292022000101004,Como Gramsci viaja na América Latina? Antes e depois da Teoria Crítica das Relações Internacionais.,Contexto Internacional,2022,2019-2025,736
S0102-85292022000101005,Apropriação de terra e Economia Política Internacional: Rumo a um modelo teórico Neo-Gramsciano crítico de governança da terra na América Latina,Contexto Internacional,2022,2019-2025,737
S0102-85292022000101006,Economia política internacional e finanças sustentáveis: avaliando o acordo verde da UE e o &#8220;New Deal verde&#8221; da UNCTAD,Contexto Internacional,2022,2019-2025,738
S0102-85292022000200200,Tempos difíceis: os Estados Unidos e o México na &#8220;renegociação&#8221; do NAFTA,Contexto Internacional,2022,2019-2025,739
S0102-85292022000200201,Uma proposta neoinstitucionalista para estudar os BRIC,Contexto Internacional,2022,2019-2025,740
S0102-85292022000200202,Trabalhadoras domésticas: herança pós-colonial e Relações Internacionais,Contexto Internacional,2022,2019-2025,741
S0102-85292022000200901,Ainda uma ferramenta pragmática para resolver problemas específicos? O regionalismo sulamericano e a resposta ao COVID-19,Contexto Internacional,2022,2019-2025,742
S0102-85292022000200902,Respostas do Mercosul e da Aliança do Pacífico à Pandemia,Contexto Internacional,2022,2019-2025,743
S0102-85292022000200903,Organizações regionais latino-americanas e caribenhas enfrentando a pandemia da COVID-19,Contexto Internacional,2022,2019-2025,744
S0102-85292022000200904,A emergência normativa da morte nas respostas da Organização dos Estados Americanos à COVID-19: rumo a uma governança regional da morte,Contexto Internacional,2022,2019-2025,745
S0102-85292022000200905,Inter-regionalismo UE-ALC durante a pandemia de COVID-19,Contexto Internacional,2022,2019-2025,746
S0102-85292022000300200,Distopia realista - Hans Morgenthau e a mudança do papel das Nações Unidas na política mundial,Contexto Internacional,2022,2019-2025,747
S0102-85292022000300201,A Política Externa Brasileira de Lisboa a Bandung,Contexto Internacional,2022,2019-2025,748
S0102-85292022000300202,Questionando a suspensão do Paraguai do MERCOSUL: a primeira aplicação da Cláusula Democrática do bloco regional,Contexto Internacional,2022,2019-2025,749
S0102-85292022000300203,Regionalismo sul-americano entre o Brasil e a Venezuela: divergências durante os governos Lula e Hugo Chávez,Contexto Internacional,2022,2019-2025,750
S0102-85292022000300204,O AfCFTA no Contexto das Relações África-UE: Uma Análise Regulamentar de Alguns Fatos Estilizados,Contexto Internacional,2022,2019-2025,751
S0102-85292022000300205,A ação do governo brasileiro no fortalecimento e desmantelamento da institucionalidade da agricultura familiar do MERCOSUL,Contexto Internacional,2022,2019-2025,752
S0102-85292022000300206,UNESCO: A emergência dos ideais de paz e patrimônio mundial,Contexto Internacional,2022,2019-2025,753
S0102-85292022000300207,Ação dialógica internacional: o potencial decolonial da cooperação estruturante em saúde promovida pelo Brasil.,Contexto Internacional,2022,2019-2025,754
S0102-85292022000300208,Hegemonia dos EUA na América Latina: O Comando Sul como instrumento de consenso e coerção,Contexto Internacional,2022,2019-2025,755
S0102-85292022000300209,Rumo a uma perspectiva Laclauniana para a construção da paz,Contexto Internacional,2022,2019-2025,756
S0102-85292023000100201,Condicionalidade democrática da UE: princípios e procedimentos democráticos?,Contexto Internacional,2023,2019-2025,757
S0102-85292023000100202,"Guiana: petróleo, disputas internas, EUA e Venezuela",Contexto Internacional,2023,2019-2025,758
S0102-85292023000100203,Desenvolvimento e o Órgão de Solução de Controvérsias da Organização Mundial do Comércio: uma análise de sobrevivência,Contexto Internacional,2023,2019-2025,759
S0102-85292023000100204,Uma nova base cienciométrica de publicações científicas em Revistas Brasileiras de Relações Internacionais (1997-2021),Contexto Internacional,2023,2019-2025,760
S0102-85292023000100205,Resposta brasileira à crise humanitária venezuelana: A Operação Acolhida como uma política de esperança,Contexto Internacional,2023,2019-2025,761
S0102-85292023000100206,Equilíbrio Pontuado no Complexo do Regime da Cooperação Internacional para o Desenvolvimento,Contexto Internacional,2023,2019-2025,762
S0102-85292023000100207,Protecionismo Não-Tarifário no Mercosul: Análise e Recomendações Sobre as Últimas Três Décadas,Contexto Internacional,2023,2019-2025,763
S0102-85292023000100900,"Benjamin ainda faz sentido: Fórum sobre a atualidade da &#8220;Crítica da Violência&#8221; de Benjamin em seu centenário, Introdução - Por que precisamos de Benjamin mais do que nunca",Contexto Internacional,2023,2019-2025,764
S0102-85292023000100901,"Mito e autoridade: Fórum sobre a atualidade da &#8220;Crítica da Violência&#8221; de Benjamin em seu centenário, Parte I - A autoridade mítica da fundação: para uma crítica da justiça",Contexto Internacional,2023,2019-2025,765
S0102-85292023000100902,"Lembranças Coloniais, Restos Coloniais: Fórum sobre a Atualidade da &#8216;Crítica da Violência&#8217; de Benjamin em seu Centenário, Parte II",Contexto Internacional,2023,2019-2025,766
S0102-85292023000100903,"Reflexões sobre a Violência Divina: Fórum sobre a Atualidade da &#8216;Crítica da Violência&#8217; de Benjamin em seu Centenário, Parte III",Contexto Internacional,2023,2019-2025,767
S0102-85292023000100904,"Biopoder: Fórum sobre a atualidade da &#8220;Crítica da Violência&#8221; de Benjamin em seu centenário, Parte IV",Contexto Internacional,2023,2019-2025,768
S0102-85292023000100905,"Violência/poder/força e luta contra o tempo no Brasil contemporâneo: Fórum sobre a atualidade da &#8220;Crítica da Violência&#8221; de Benjamin em seu centenário, Parte V",Contexto Internacional,2023,2019-2025,769
S0102-85292023000100906,"Benjamin e o Brasil, uma interpretação final: Fórum sobre a atualidade da &#8220;Crítica da Violência&#8221; de Benjamin em seu centenário, Parte VI",Contexto Internacional,2023,2019-2025,770
S0102-85292023000200200,Política Externa da Arábia Saudita sob MBS: mudança da unidade de decisão e seus impactos em relação ao Iêmen e à Síria,Contexto Internacional,2023,2019-2025,771
S0102-85292023000200201,Modelos de mensurar cooperação: Brasil e México,Contexto Internacional,2023,2019-2025,772
S0102-85292023000200202,Arquitetura de governança climática conflituosa no âmbito da Organização da Aviação Civil Internacional (ICAO),Contexto Internacional,2023,2019-2025,773
S0102-85292023000200203,Manutenção da Paz Multidimensional: A paz local não dura quando a paz nacional falha,Contexto Internacional,2023,2019-2025,774
S0102-85292023000200204,Expansão dos investimentos de empresas chinesas na Amazônia brasileira &#8211; O caso do agronegócio,Contexto Internacional,2023,2019-2025,775
S0102-85292023000200205,"Além da Sociedade Internacional: a ideia da Sociedade Mundial, da Escola de Inglesa à Teoria Crítica",Contexto Internacional,2023,2019-2025,776
S0102-85292023000200900,A teoria da conspiração e a política externa da Extrema Direita: o Caso do Brasil de Jair Bolsonaro (2019-2021),Contexto Internacional,2023,2019-2025,777
S0102-85292023000200901,A Direita Radical Populista e a Elaboração Illiberal da Política Externa,Contexto Internacional,2023,2019-2025,778
S0102-85292023000200902,"Fórum: Política externa, emoções e segurança ontológica",Contexto Internacional,2023,2019-2025,779
S0102-85292023000200903,Discursos de política externa brasileira e a busca por segurança ontológica,Contexto Internacional,2023,2019-2025,780
S0102-85292023000300200,Inovação em Defesa e Participação Feminina nas Forças Armadas: Uma Análise do PISFLEMB,Contexto Internacional,2023,2019-2025,781
S0102-85292023000301000,"Fórum Out of Time, de Rahul Rao, Parte I: Mutações e repressões Queer",Contexto Internacional,2023,2019-2025,782
S0102-85292023000301001,"Fórum Out of Time, de Rahul Rao, Parte III: Linhas de esperança? - Método e estilo",Contexto Internacional,2023,2019-2025,783
S0102-85292023000301002,"Fórum Out of Time, de Rahul Rao, Parte II: Repensando o homonacionalismo",Contexto Internacional,2023,2019-2025,784
S0102-85292023000301003,"Fórum sobre o livro Out of Time, de Rahul Rao, Parte IV: A Luta Continua",Contexto Internacional,2023,2019-2025,785
S0102-85292024000100200,Agências de rating versus a &#8220;maré rosa&#8221;: lições das experiências do Brasil e da Argentina,Contexto Internacional,2024,2019-2025,786
S0102-85292024000100201,Dinâmica e mecanismos de reprodução da ideologia do consumismo por empresas transnacionais de dados,Contexto Internacional,2024,2019-2025,787
S0102-85292024000100202,América Primeiro: ajuda externa na administração do Trump,Contexto Internacional,2024,2019-2025,788
S0102-85292024000100203,A política da inclusão nas negociações de paz,Contexto Internacional,2024,2019-2025,789
S0102-85292024000100204,Entendendo o apoio dos países muçulmanos às ações da China em Xinjiang: uma análise qualitativa e comparativa,Contexto Internacional,2024,2019-2025,790
S0102-85292024000100900,Metaforizando a modernidade,Contexto Internacional,2024,2019-2025,791
S0102-85292024000100901,"Intercâmbio sobre &#8216;Metaphoricizing Modernity&#8217; de Nick Onuf, Parte I &#8211; Começos Perigosos, (Re)Começos Periféricos: Uma Reconfiguração do Construtivismo de Nick Onuf",Contexto Internacional,2024,2019-2025,792
S0102-85292024000100902,"Intercâmbio sobre &#8216;Metaphoricizing Modernity&#8217; de Nick Onuf, Parte II &#8211; Provincializando Metáforas, Lendo (com) Onuf da América Latina",Contexto Internacional,2024,2019-2025,793
S0102-85292024000100903,"Intercâmbio sobre &#8216;Metaphoricizing Modernity&#8217; de Nick Onuf, Parte III &#8211; Reconfiguração da Modernidade e/ou como Metáfora(s)",Contexto Internacional,2024,2019-2025,794
S0102-85292024000200200,O duplo efeito chinês na política externa brasileira (2003-2018),Contexto Internacional,2024,2019-2025,795
S0102-85292024000200201,Operação Lava Jato além das fronteiras: A criação de um campo policial transnacional,Contexto Internacional,2024,2019-2025,796
S0102-85292024000200202,A política externa de Bolsonaro e a burguesia brasileira,Contexto Internacional,2024,2019-2025,797
S0102-85292024000200700,Política externa e identidade: uma contribuição de uma estrutura de análise de inspiração bourdieusiana,Contexto Internacional,2024,2019-2025,798
S0102-85292024000200701,Fórum sobre reconhecimento em (Análise de) Política Externa e (Estudo da) Diplomacia,Contexto Internacional,2024,2019-2025,799
S0102-85292024000200702,Análise de Política Externa Crítica e Interpretativista: refletindo sobre três desafios futuros,Contexto Internacional,2024,2019-2025,800
S0102-85292024000301100,"Tropical Utopia, Tropical Dystopia: Ficção Científica do Sul Global e Abordagens Críticas à Política Internacional",Contexto Internacional,2024,2019-2025,801
S0102-85292024000301101,A Ficção Científica como Ferramenta Pedagógica Pós-Colonial,Contexto Internacional,2024,2019-2025,802
S0102-85292024000301102,Memórias do império futuro: Os efeitos produtivos do imaginário imperial na ficção científica &#8211; Uma análise de The Expanse,Contexto Internacional,2024,2019-2025,803
S0102-85292024000301103,El Eternauta (1976): Ficção científica contra o imperialismo,Contexto Internacional,2024,2019-2025,804
S0102-85292024000301104,Imagens de ficção científica da China: construindo futuros tecnológicos alternativos,Contexto Internacional,2024,2019-2025,805
S0102-85292024000301105,O desenvolvimento da ficção científica chinesa e cubana em perspectiva comparativa: do colonialismo à revolução e além,Contexto Internacional,2024,2019-2025,806
S0102-85292024000301106,&#8216;Fabricado no Sul&#8217;: Histórias de computação sobre a insegurança da GS,Contexto Internacional,2024,2019-2025,807
S0102-85292024000301107,Futuros distópicos brasileiros: Mundializando o Brasil através de filmes de ficção científica,Contexto Internacional,2024,2019-2025,808
S0102-85292024000301108,Viver-morrendo: a nova realidade distópica do colonialismo por povoamento israelense em Gaza,Contexto Internacional,2024,2019-2025,809
S0102-85292024000301109,O Problema dos Três Corpos e o Antropoceno,Contexto Internacional,2024,2019-2025,810
S0102-85292024000301110,Além da ficção científica: o realismo mágico como uma abordagem da literatura em Relações Internacionais,Contexto Internacional,2024,2019-2025,811
S0102-85292025000100200,Defesa dos alimentos: A securitização do suprimento de alimentos,Contexto Internacional,2025,2019-2025,812
S0102-85292025000100201,"Paradiplomacia, seus atores e tendências: estado da arte e contribuições adicionais",Contexto Internacional,2025,2019-2025,813
S0102-85292025000100202,Estruturas institucionais dos países latinoamericanos para adesão e participação na OCDE,Contexto Internacional,2025,2019-2025,814
S0102-85292025000100203,"A abordagem das capacidades: pobreza multidimensional, justiça global e perspectivas do Sul Global",Contexto Internacional,2025,2019-2025,815
S0102-85292025000100204,A política externa brasileira bolsonarista nas charges de Laerte,Contexto Internacional,2025,2019-2025,816
S0102-85292025000100205,Explicação Causal nas Relações Internacionais Brasileiras,Contexto Internacional,2025,2019-2025,817
S0102-85292025000100206,'O Brasil é um país cristão e conservador que tem a família como base&#8217;: o papel de defensor da fé na política externa de Bolsonaro,Contexto Internacional,2025,2019-2025,818
S0102-85292025000100207,Escondido no palco: Racismo e Política Externa Brasileira na FESMAN &#8217;66,Contexto Internacional,2025,2019-2025,819
S0102-85292025000100208,As crises e a agonia da cooperação internacional para o desenvolvimento: As consequências para a política externa brasileira,Contexto Internacional,2025,2019-2025,820
S0102-85292025000100209,"A consolidação da democracia liberal no Brasil: O encontro de representações globais, regionais e locais",Contexto Internacional,2025,2019-2025,821
S0102-85292025000101101,Uma distopia utópica: Liberdade versus segurança no romance de ficção científica &#8216;Gênesis&#8217;,Contexto Internacional,2025,2019-2025,822
S0102-85292025000200200,Espreitando por trás dos arcos: um exame das filiações partidárias e candidaturas de diplomatas no Brasil,Contexto Internacional,2025,2019-2025,823
S0102-85292025000200201,O Brasil e o TPNW: os interesses brasileiros e a promoção da norma de proibição nuclear,Contexto Internacional,2025,2019-2025,824
S0102-85292025000201200,Onde está o mar nas Relações Internacionais? O oceano como fronteira teórica e política,Contexto Internacional,2025,2019-2025,825
S0102-85292025000201201,Abordando a &#8220;afasia marítima&#8221; em Relações Internacionais,Contexto Internacional,2025,2019-2025,826
S0102-85292025000201202,Entre os testes nucleares e o aumento do nível do mar,Contexto Internacional,2025,2019-2025,827
S0102-85292025000201203,Carl Schmitt em Movimento: Política Espacial e o Sacrifício (político) do Mar,Contexto Internacional,2025,2019-2025,828
S0102-85292025000201204,Pensando a (In)Segurança Ontológica com a Água: O Lugar do Oceano na Migração por Barco,Contexto Internacional,2025,2019-2025,829
S0102-85292025000201205,"Qual é o lugar do Mar de Timor na geopolítica, na cultura e na educação timorenses?",Contexto Internacional,2025,2019-2025,830
S0102-85292025000201206,Fronteiras Fluidas: Reavaliando os Espaços Marítimos e as Ondas Nómadas na Teoria das Relações Internacionais,Contexto Internacional,2025,2019-2025,831
S0102-85292025000201207,A Terceira Margem do Mar: rastros marítimos de foras e forasteiros constitutivos e linhas ontopolíticas internacionais,Contexto Internacional,2025,2019-2025,832
S0102-85292025000201208,"Governança dos oceanos, segurança marítima e Relações Internacionais",Contexto Internacional,2025,2019-2025,833
S0102-85292025000201209,Navegando em ondas além das fronteiras terrestres nacionais soberanas: Na encruzilhada entre as Relações Internacionais Oceânicas e a economia azul,Contexto Internacional,2025,2019-2025,834
S0102-85292025000300200,Fronteiras do futuro: A proteção das crianças como promessa de paz para a República Democrática do Congo,Contexto Internacional,2025,2019-2025,835
S0102-85292025000300201,Poder no Sistema Monetário e Financeiro Internacional: Os Limites Geopolíticos do Privilégio Exorbitante,Contexto Internacional,2025,2019-2025,836
S0102-85292025000300202,&#8220;Rumo a um Capitalismo Inclusivo&#8221;: Uma Análise Neo-Gramsciana da Virada Feminista do FMI Durante a Gestão de Christine Lagarde (2011&#8211;2019),Contexto Internacional,2025,2019-2025,837
S0102-85292025000300203,A Política Global da Produção de Estudantes com/sem Deficiência: Cultivando um Amor-Próprio Autista Fortificado por Meio da Autoetnografia e da Poesia,Contexto Internacional,2025,2019-2025,838
S0102-85292025000300204,Seguranças transversais: o dilema entre segurança ambiental e segurança energética no descarte de águas residuais de usinas nucleares,Contexto Internacional,2025,2019-2025,839
S0102-85292025000300205,As perspectivas dos Think Tanks conservadores americanos sobre a liderança dos EUA na América Latina e o governo de Donald Trump,Contexto Internacional,2025,2019-2025,840
S0102-85292025000300206,Memes de Guerra e a Política Nacional Brasileira,Contexto Internacional,2025,2019-2025,841
S0102-85292025000300207,Ideias feministas e mudança institucional endógena nas Nações Unidas,Contexto Internacional,2025,2019-2025,842
S0102-85292025000300208,Resistência Civil Não-violenta e (I)mobilidade Humana,Contexto Internacional,2025,2019-2025,843
S0102-85292025000300209,As relações dos Estados do Triângulo do Norte com Israel e Palestina: entendendo as mudanças na política externa de pequenos Estados para além da dominação,Contexto Internacional,2025,2019-2025,844
S0011-52582005000100003,Efeitos de classe na desigualdade racial no Brasil,Dados,2005,2005-2011,845
S0011-52582005000100004,Regime político e sistema de inteligência no Brasil: legitimidade e efetividade como desafios institucionais,Dados,2005,2005-2011,846
S0011-52582005000100005,"Geisel, Figueiredo e a liberalização do regime autoritário (1974-1985)",Dados,2005,2005-2011,847
S0011-52582005000100006,Projeção da imagem partidária nas estratégias de campanha na televisão: uma análise do HGPE 2002,Dados,2005,2005-2011,848
S0011-52582005000100007,"Cidade, territórios e cidadania",Dados,2005,2005-2011,849
S0011-52582005000200001,Linhagens do pensamento político brasileiro,Dados,2005,2005-2011,850
S0011-52582005000200002,Implicações teóricas do novo institucionalismo: uma abordagem Habermasiana,Dados,2005,2005-2011,851
S0011-52582005000200003,A reforma da previdência em dois tempos,Dados,2005,2005-2011,852
S0011-52582005000200004,Interações entre os poderes executivo e legislativo no processo decisório: avaliando sucesso e fracasso presidencial,Dados,2005,2005-2011,853
S0011-52582005000200005,Comissões e partidos políticos na Câmara dos Deputados: um estudo sobre os padrões partidários de recrutamento para as comissões permanentes,Dados,2005,2005-2011,854
S0011-52582005000200006,O impacto da internacionalização com foco na inovação tecnológica sobre as exportações das firmas brasileiras,Dados,2005,2005-2011,855
S0011-52582005000300001,A inspeção do trabalho no Brasil,Dados,2005,2005-2011,856
S0011-52582005000300002,Novas conjunturas industriais e participação local em estratégias de desenvolvimento,Dados,2005,2005-2011,857
S0011-52582005000300003,"Bases sociais e intérpretes da ""tradição trabalhista"" no Rio Grande do Sul",Dados,2005,2005-2011,858
S0011-52582005000300004,Judiciário e privatizações no Brasil: existe uma judicialização da política?,Dados,2005,2005-2011,859
S0011-52582005000300005,Partidos na república de 1946: uma réplica metodológica,Dados,2005,2005-2011,860
S0011-52582005000300006,O discurso político monarquiano e a recepção do conceito de poder moderador no Brasil (1822-1824),Dados,2005,2005-2011,861
S0011-52582005000300007,"De Cambridge para o mundo, historicamente: revendo a contribuição metodológica de Quentin Skinner",Dados,2005,2005-2011,862
S0011-52582005000400001,Teoria informacional e a seleção de relatores na Câmara dos Deputados,Dados,2005,2005-2011,863
S0011-52582005000400002,"Processo orçamentário e comportamento Legislativo: emendas individuais, apoio ao Executivo e programas de governo",Dados,2005,2005-2011,864
S0011-52582005000400003,Entre princípios e regras: cinco estudos de caso de Ação Civil Pública,Dados,2005,2005-2011,865
S0011-52582005000400004,"O sucesso inesperado das reformas de segunda geração: federalismo, reformas constitucionais e política social",Dados,2005,2005-2011,866
S0011-52582005000400005,Apagão cognitivo: a crise energética e sua sociologia,Dados,2005,2005-2011,867
S0011-52582006000100001,Maria do Carmo Campello de Souza (1936-2006),Dados,2006,2005-2011,868
S0011-52582006000100003,"Uma virada imprevista: o""fim"" da adoção internacional no Brasil",Dados,2006,2005-2011,869
S0011-52582006000100004,Atividade e vulnerabilidade: quais os arranjos familiares em risco?,Dados,2006,2005-2011,870
S0011-52582006000100005,"Habermas, Rorty e o pragmatismo americano",Dados,2006,2005-2011,871
S0011-52582006000100006,A dinâmica produtiva recente da metrópole paulista: das perspectivas pós-industriais à consolidação do espaço industrial de serviços,Dados,2006,2005-2011,872
S0011-52582006000100007,Cooperação científica internacional: estilos de atuação da Fundação Rockefeller e da Fundação Ford,Dados,2006,2005-2011,873
S0011-52582006000100008,O impacto das regras de organização do processo legislativo no comportamento dos parlamentares: um estudo de caso da Assembléia Nacional Constituinte (1987-1988),Dados,2006,2005-2011,874
S0011-52582006000200001,Congresso e política de reforma do estado no Brasil,Dados,2006,2005-2011,875
S0011-52582006000200002,Os determinantes da existência e dos poderes das câmaras altas: federalismo ou presidencialismo?,Dados,2006,2005-2011,876
S0011-52582006000200003,"Presidencialismos em perspectiva comparada: Argentina, Brasil e Uruguai",Dados,2006,2005-2011,877
S0011-52582006000200004,"Executivo, legislativo e sindicatos na reforma previdenciária Argentina",Dados,2006,2005-2011,878
S0011-52582006000200005,Por que não uma constituição européia?,Dados,2006,2005-2011,879
S0011-52582006000200006,Negociações coletivas e o poder normativo da Justiça do Trabalho,Dados,2006,2005-2011,880
S0011-52582006000300001,Dormindo com o inimigo: uma crítica ao conceito de confiança,Dados,2006,2005-2011,881
S0011-52582006000300003,Weber e o desencantamento do mundo: uma interlocução com o pensamento de Nietzsche,Dados,2006,2005-2011,882
S0011-52582006000300004,"Jovem Marx, nova teoria política",Dados,2006,2005-2011,883
S0011-52582006000300005,Tocqueville e Gobineau no mundo dos iguais,Dados,2006,2005-2011,884
S0011-52582006000300006,Jesus Cristo senhor e salvador da cidade: imaginário crente e utopia política,Dados,2006,2005-2011,885
S0011-52582006000300007,Recursos familiares e o desempenho cognitivo dos alunos do ensino básico brasileiro,Dados,2006,2005-2011,886
S0011-52582006000300008,As ONGs e a política no Brasil: presença de novos atores,Dados,2006,2005-2011,887
S0011-52582006000400001,Eduardo Kugelmas (1940-2006),Dados,2006,2005-2011,888
S0011-52582006000400002,O sistema eleitoral de lista aberta no Brasil,Dados,2006,2005-2011,889
S0011-52582006000400003,Regras eleitorais importam? Modelos de listas eleitorais e seus efeitos sobre a competição partidária e o desempenho institucional,Dados,2006,2005-2011,890
S0011-52582006000400004,Em que ponto estamos? Sessenta anos de reformas institucionais na Itália (1946-2005),Dados,2006,2005-2011,891
S0011-52582006000400005,Democracias Andinas: chegando tarde à festa?,Dados,2006,2005-2011,892
S0011-52582006000400006,"Classe, raça e mobilidade social no Brasil",Dados,2006,2005-2011,893
S0011-52582007000100002,Simmel no Brasil,Dados,2007,2005-2011,894
S0011-52582007000100003,Seqüências de uma sociologia política brasileira,Dados,2007,2005-2011,895
S0011-52582007000100004,Espaço e pensamento brasileiro: a Rússia americana nos escritos de Euclides da Cunha e Vicente Licínio Cardoso,Dados,2007,2005-2011,896
S0011-52582007000100005,Pobreza e humanismo salvador: mediações subjacentes,Dados,2007,2005-2011,897
S0011-52582007000100006,"Modelos de capitalismo e economia política comparada: instituições, performance e as respostas alemã e japonesa aos desafios recentes",Dados,2007,2005-2011,898
S0011-52582007000100007,Negociações comerciais internacionais e democracia: o contencioso Brasil x EUA das patentes farmacêuticas na OMC,Dados,2007,2005-2011,899
S0011-52582007000200001,O judiciário e as políticas públicas no Brasil,Dados,2007,2005-2011,900
S0011-52582007000200002,Autonomia e discricionariedade do Ministério Público no Brasil,Dados,2007,2005-2011,901
