agent_id,field_type,fields,mean_exact_accuracy_all,median_exact_accuracy_all,mean_exact_accuracy_gold_non_null,mean_pred_coverage_non_null
agent_b,binary,14,0.7191836734693877,0.7,0.47400123506884717,0.4763265306122449
agent_a,binary,14,0.6383673469387755,0.6457142857142857,0.3903984379722101,0.37142857142857144
agent_c,binary,14,0.5861224489795919,0.6485714285714286,0.2287683751247299,0.22775510204081634
agent_a,categorical,12,0.7480952380952381,0.8028571428571429,0.5374666936415787,0.6114285714285714
agent_c,categorical,12,0.7223809523809523,0.7485714285714287,0.47755474206058557,0.5552380952380952
agent_b,categorical,12,0.7157142857142857,0.7828571428571429,0.5615044895446816,0.6480952380952381
agent_a,text_or_structured_exact,9,0.8107936507936508,0.8914285714285715,0.11049107142857144,0.23428571428571426
agent_b,text_or_structured_exact,9,0.7803174603174603,0.8857142857142857,0.10714285714285715,0.26095238095238094
agent_c,text_or_structured_exact,9,0.7320634920634921,0.8,0.21986607142857142,0.27365079365079364
