agent_id,field,value,agent_n,agent_share,previous_n,previous_share,share_minus_previous
agent_a,discusses_threats_to_causality,<NULL>,141,0.8057142857142857,113,0.6457142857142857,0.16000000000000003
agent_b,discusses_threats_to_causality,<NULL>,139,0.7942857142857143,113,0.6457142857142857,0.14857142857142858
agent_c,discusses_threats_to_causality,<NULL>,154,0.88,113,0.6457142857142857,0.23428571428571432
agent_a,discusses_threats_to_causality,FALSE,34,0.19428571428571428,60,0.34285714285714286,-0.14857142857142858
agent_b,discusses_threats_to_causality,FALSE,33,0.18857142857142858,60,0.34285714285714286,-0.15428571428571428
agent_c,discusses_threats_to_causality,FALSE,8,0.045714285714285714,60,0.34285714285714286,-0.29714285714285715
agent_b,discusses_threats_to_causality,TRUE,3,0.017142857142857144,2,0.011428571428571429,0.005714285714285715
agent_c,discusses_threats_to_causality,TRUE,13,0.07428571428571429,2,0.011428571428571429,0.06285714285714286
agent_a,evidence_type,mixed,19,0.10857142857142857,4,0.022857142857142857,0.08571428571428572
agent_b,evidence_type,mixed,17,0.09714285714285714,4,0.022857142857142857,0.07428571428571429
agent_c,evidence_type,mixed,15,0.08571428571428572,4,0.022857142857142857,0.06285714285714286
agent_a,evidence_type,qualitative,58,0.3314285714285714,72,0.4114285714285714,-0.08000000000000002
agent_b,evidence_type,qualitative,65,0.37142857142857144,72,0.4114285714285714,-0.03999999999999998
agent_c,evidence_type,qualitative,34,0.19428571428571428,72,0.4114285714285714,-0.21714285714285714
agent_a,evidence_type,quantitative,33,0.18857142857142858,43,0.24571428571428572,-0.057142857142857134
agent_b,evidence_type,quantitative,34,0.19428571428571428,43,0.24571428571428572,-0.051428571428571435
agent_c,evidence_type,quantitative,35,0.2,43,0.24571428571428572,-0.04571428571428571
agent_a,evidence_type,theoretical-normative,65,0.37142857142857144,56,0.32,0.051428571428571435
agent_b,evidence_type,theoretical-normative,59,0.33714285714285713,56,0.32,0.017142857142857126
agent_c,evidence_type,theoretical-normative,91,0.52,56,0.32,0.2
agent_a,is_empirical_quant_paper,FALSE,124,0.7085714285714285,135,0.7714285714285715,-0.06285714285714294
agent_b,is_empirical_quant_paper,FALSE,137,0.7828571428571428,135,0.7714285714285715,0.011428571428571344
agent_c,is_empirical_quant_paper,FALSE,127,0.7257142857142858,135,0.7714285714285715,-0.04571428571428571
agent_a,is_empirical_quant_paper,TRUE,51,0.2914285714285714,40,0.22857142857142856,0.06285714285714286
agent_b,is_empirical_quant_paper,TRUE,38,0.21714285714285714,40,0.22857142857142856,-0.011428571428571427
agent_c,is_empirical_quant_paper,TRUE,48,0.2742857142857143,40,0.22857142857142856,0.045714285714285735
agent_a,main_causal_research_design,<NULL>,159,0.9085714285714286,154,0.88,0.02857142857142858
agent_b,main_causal_research_design,<NULL>,139,0.7942857142857143,154,0.88,-0.08571428571428574
agent_c,main_causal_research_design,<NULL>,155,0.8857142857142857,154,0.88,0.005714285714285672
agent_a,main_causal_research_design,Kitchen Sink Linear Model,13,0.07428571428571429,20,0.11428571428571428,-0.039999999999999994
agent_b,main_causal_research_design,Kitchen Sink Linear Model,14,0.08,20,0.11428571428571428,-0.03428571428571428
agent_c,main_causal_research_design,Kitchen Sink Linear Model,13,0.07428571428571429,20,0.11428571428571428,-0.039999999999999994
agent_a,main_causal_research_design,Other,3,0.017142857142857144,1,0.005714285714285714,0.01142857142857143
agent_b,main_causal_research_design,Other,22,0.12571428571428572,1,0.005714285714285714,0.12000000000000001
agent_c,main_causal_research_design,Other,7,0.04,1,0.005714285714285714,0.03428571428571429
agent_a,makes_explicit_causal_claim,<NULL>,65,0.37142857142857144,4,0.022857142857142857,0.3485714285714286
agent_c,makes_explicit_causal_claim,<NULL>,146,0.8342857142857143,4,0.022857142857142857,0.8114285714285714
agent_a,makes_explicit_causal_claim,FALSE,103,0.5885714285714285,166,0.9485714285714286,-0.3600000000000001
agent_b,makes_explicit_causal_claim,FALSE,143,0.8171428571428572,166,0.9485714285714286,-0.13142857142857145
agent_c,makes_explicit_causal_claim,FALSE,18,0.10285714285714286,166,0.9485714285714286,-0.8457142857142858
agent_a,makes_explicit_causal_claim,TRUE,7,0.04,5,0.02857142857142857,0.01142857142857143
agent_b,makes_explicit_causal_claim,TRUE,32,0.18285714285714286,5,0.02857142857142857,0.15428571428571428
agent_c,makes_explicit_causal_claim,TRUE,11,0.06285714285714286,5,0.02857142857142857,0.034285714285714294
agent_a,makes_implicit_causal_claim,<NULL>,65,0.37142857142857144,4,0.022857142857142857,0.3485714285714286
agent_c,makes_implicit_causal_claim,<NULL>,147,0.84,4,0.022857142857142857,0.8171428571428571
agent_a,makes_implicit_causal_claim,FALSE,83,0.4742857142857143,138,0.7885714285714286,-0.3142857142857143
agent_b,makes_implicit_causal_claim,FALSE,171,0.9771428571428571,138,0.7885714285714286,0.1885714285714285
agent_c,makes_implicit_causal_claim,FALSE,4,0.022857142857142857,138,0.7885714285714286,-0.7657142857142857
agent_a,makes_implicit_causal_claim,TRUE,27,0.15428571428571428,33,0.18857142857142858,-0.03428571428571431
agent_b,makes_implicit_causal_claim,TRUE,4,0.022857142857142857,33,0.18857142857142858,-0.16571428571428573
agent_c,makes_implicit_causal_claim,TRUE,24,0.13714285714285715,33,0.18857142857142858,-0.051428571428571435
agent_a,method_status,essayistic,77,0.44,78,0.44571428571428573,-0.005714285714285727
agent_b,method_status,essayistic,80,0.45714285714285713,78,0.44571428571428573,0.011428571428571399
agent_c,method_status,essayistic,108,0.6171428571428571,78,0.44571428571428573,0.17142857142857137
agent_a,method_status,explicit,98,0.56,97,0.5542857142857143,0.005714285714285783
agent_b,method_status,explicit,95,0.5428571428571428,97,0.5542857142857143,-0.011428571428571455
agent_c,method_status,explicit,67,0.38285714285714284,97,0.5542857142857143,-0.17142857142857143
agent_a,specifies_estimate_equations,<NULL>,142,0.8114285714285714,133,0.76,0.05142857142857138
agent_b,specifies_estimate_equations,<NULL>,137,0.7828571428571428,133,0.76,0.022857142857142798
agent_c,specifies_estimate_equations,<NULL>,127,0.7257142857142858,133,0.76,-0.03428571428571425
agent_a,specifies_estimate_equations,FALSE,19,0.10857142857142857,41,0.2342857142857143,-0.12571428571428572
agent_b,specifies_estimate_equations,FALSE,24,0.13714285714285715,41,0.2342857142857143,-0.09714285714285714
agent_c,specifies_estimate_equations,FALSE,42,0.24,41,0.2342857142857143,0.0057142857142856995
agent_a,specifies_estimate_equations,TRUE,14,0.08,1,0.005714285714285714,0.07428571428571429
agent_b,specifies_estimate_equations,TRUE,14,0.08,1,0.005714285714285714,0.07428571428571429
agent_c,specifies_estimate_equations,TRUE,6,0.03428571428571429,1,0.005714285714285714,0.028571428571428574
agent_a,statement_of_identification_assumptions,<NULL>,141,0.8057142857142857,113,0.6457142857142857,0.16000000000000003
agent_b,statement_of_identification_assumptions,<NULL>,139,0.7942857142857143,113,0.6457142857142857,0.14857142857142858
agent_c,statement_of_identification_assumptions,<NULL>,155,0.8857142857142857,113,0.6457142857142857,0.24
agent_a,statement_of_identification_assumptions,FALSE,34,0.19428571428571428,62,0.35428571428571426,-0.15999999999999998
agent_b,statement_of_identification_assumptions,FALSE,36,0.2057142857142857,62,0.35428571428571426,-0.14857142857142855
agent_c,statement_of_identification_assumptions,FALSE,19,0.10857142857142857,62,0.35428571428571426,-0.2457142857142857
agent_c,statement_of_identification_assumptions,TRUE,1,0.005714285714285714,0,0,0.005714285714285714
