scope_type,scope,quantitative_n,inference_observed_n,inference_missing_n,inference_n,inference_percent
Agregado,Cobertura classificada,1634,1629,5,618,37.9
Agregado,Seis peri<c3><b3>dicos integralmente classificados,1284,1281,3,551,43
Peri<c3><b3>dico completo,Brazilian Political Science Review,171,171,0,85,49.7
Peri<c3><b3>dico completo,Cadernos Gestão Pública e Cidadania,75,75,0,14,18.7
Peri<c3><b3>dico completo,Contexto Internacional,111,111,0,8,7.2
Peri<c3><b3>dico completo,Dados,340,340,0,142,41.8
Peri<c3><b3>dico completo,Opinião Pública,403,401,2,242,60.3
Peri<c3><b3>dico completo,Revista Brasileira de Ciência Política,184,183,1,60,32.8
