scope,quantitative_type,quantitative_n,inference_n,inference_percent
Cobertura classificada,Classifica<c3><a7><c3><a3>o quantitativa incerta,2,1,50
Cobertura classificada,Estat<c3><ad>stica descritiva,899,9,1
Cobertura classificada,Modelagem estat<c3><ad>stica,612,520,85
Cobertura classificada,Testes bivariados ou correla<c3><a7><c3><b5>es,116,88,75.9
Seis peri<c3><b3>dicos integralmente classificados,Estat<c3><ad>stica descritiva,643,9,1.4
Seis peri<c3><b3>dicos integralmente classificados,Modelagem estat<c3><ad>stica,546,469,85.9
Seis peri<c3><b3>dicos integralmente classificados,Testes bivariados ou correla<c3><a7><c3><b5>es,92,73,79.3
