journal_title,n_articles,n_classified,n_unclassified,coverage_percent
Revista Brasileira de Política Internacional,490,451,39,92.04081632653062
Contexto Internacional,456,421,35,92.32456140350877
Revista Brasileira de Ciências Sociais,708,672,36,94.91525423728814
Cadernos Gestão Pública e Cidadania,120,114,6,95
Opinião Pública,464,443,21,95.47413793103448
Revista de Sociologia e Política,638,619,19,97.02194357366771
Brazilian Political Science Review,268,261,7,97.38805970149254
Dados,622,606,16,97.42765273311898
Revista Brasileira de Ciência Política,391,383,8,97.9539641943734
