metric,n_articles,n_events,iterations_per_chain,warmup_per_chain,n_authors,n_journals,observed_prevalence,posterior_predictive_mean,posterior_predictive_low,posterior_predictive_high,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,max_treedepth_transitions,convergence_pass,posterior_predictive_pass
Artigos empíricos,3970,3276,2000,1000,2625,9,0.8251889168765743,0.8251471032745592,0.8103274559193955,0.8398110831234257,1.0084659242560636,467.3593288087767,923.6043323898504,0,0,TRUE,TRUE
Análise quantitativa,3276,1943,4000,2000,2263,9,0.5931013431013431,0.5931233211233211,0.5763125763125763,0.6089743589743589,1.0041651088477208,1057.4090290643655,1832.8946571090125,0,0,TRUE,TRUE
Inferência estatística,1938,727,2000,1000,1302,9,0.3751289989680083,0.375359133126935,0.35139318885448917,0.3978328173374613,1.0069937365583088,658.31954225896,1161.6169174304864,0,0,TRUE,TRUE
Linguagem causal ou explicativa,3276,3185,4000,2000,2263,9,0.9722222222222222,0.9719590964590964,0.9648962148962149,0.9790979853479853,1.004215777022314,982.6111158927074,1849.708266371697,0,0,TRUE,TRUE
Examinados para identificação,3970,1359,2000,1000,2625,9,0.34231738035264486,0.34186599496221665,0.32579974811083123,0.3566750629722922,1.0074574774418814,746.5223778010143,1423.1578939953138,0,0,TRUE,TRUE
Estratégia explícita de identificação,1359,59,4000,2000,914,9,0.04341427520235467,0.043727740986019135,0.030518763796909494,0.05739514348785872,1.0082840475632906,892.5295048908946,1081.2215203001724,0,0,TRUE,TRUE
