period_3,first_author_gender,n_articles,period_total,percent_all,binary_total,percent_within_binary
2005-2011,Feminino,321,1106,29.023508137432188,1051,30.54234062797336
2005-2011,Masculino,730,1106,66.00361663652802,1051,69.45765937202664
2005-2011,Não classificado,55,1106,4.972875226039783,1051,NA
2012-2018,Feminino,450,1476,30.48780487804878,1405,32.02846975088968
2012-2018,Masculino,955,1476,64.70189701897019,1405,67.97153024911032
2012-2018,Não classificado,71,1476,4.8102981029810294,1405,NA
2019-2025,Feminino,552,1575,35.04761904761905,1514,36.459709379128135
2019-2025,Masculino,962,1575,61.07936507936508,1514,63.540290620871865
2019-2025,Não classificado,61,1575,3.873015873015873,1514,NA
