metric,numerator_Feminino,numerator_Masculino,denominator_Feminino,denominator_Masculino,percent_Feminino,percent_Masculino,difference_pp_female_minus_male
Artigos empíricos,1133,2143,1323,2647,85.63869992441421,80.9595768794862,4.679123044928005
Análise quantitativa,631,1312,1133,2143,55.69285083848191,61.22258516098927,-5.529734322507359
Inferência estatística,184,543,629,1309,29.252782193958666,41.48204736440031,-12.229265170441643
Linguagem causal ou explicativa,1103,2082,1133,2143,97.35216240070609,97.1535230984601,0.19863930224599358
Examinados para identificação,396,963,1323,2647,29.931972789115648,36.38080846241028,-6.4488356732946315
Estratégia explícita de identificação,12,47,396,963,3.0303030303030303,4.880581516095535,-1.8502784857925043
