metric,denominator_definition,n_articles,n_events,raw_percent_female,raw_percent_male,posterior_mean_pp,posterior_median_pp,credible_interval_95_low_pp,credible_interval_95_high_pp,posterior_probability_positive,posterior_probability_negative,posterior_probability_in_rope,posterior_probability_above_positive_rope,posterior_probability_below_negative_rope
Artigos empíricos,todos os artigos com primeiro prenome classificado,3970,3276,85.63869992441421,80.9595768794862,3.160292819316911,3.1813149491825756,0.8736356420541515,5.336704035658922,0.998,0.002,0.15625,0.84375,0
Análise quantitativa,artigos empíricos com classificação quantitativa observada,3276,1943,55.69285083848191,61.22258516098926,-7.156711097795748,-7.093004369126932,-12.992278013210928,-1.6196785901500934,0.0055,0.9945,0.03275,0.00125,0.966
Inferência estatística,artigos quantitativos com inferência observada,1938,727,29.252782193958666,41.4820473644003,-12.362612739737845,-12.377315789309485,-18.338109186859946,-6.604287902638227,0,1,0,0,1
Linguagem causal ou explicativa,artigos empíricos com linguagem observada,3276,3185,97.35216240070609,97.1535230984601,0.26434509308734233,0.2783785223779437,-0.817788650828225,1.2842561266800296,0.70625,0.29375,0.99975,0,2.5e-4
Examinados para identificação,artigos com screen observado,3970,1359,29.931972789115648,36.38080846241027,-6.321514611615966,-6.30947184982823,-10.035585233710158,-2.6594483093493992,0,1,0.01275,0,0.98725
Estratégia explícita de identificação,artigos examinados para identificação,1359,59,3.0303030303030303,4.880581516095535,-0.6681475715186392,-0.6106151491340174,-2.096149746564527,0.5115101306593363,0.11825,0.88175,0.966,5e-4,0.0335
