prior,journal_title,observed_rate,ppc_q025,ppc_q50,ppc_q975,observed_within_ppc_95
"Normal(0, 1.5)",Brazilian Political Science Review,0.49707602339181284,0.38011695906432746,0.4853801169590643,0.5906432748538012,TRUE
"Normal(0, 1.5)",Dados,0.4176470588235294,0.3352941176470588,0.4176470588235294,0.4852941176470588,TRUE
"Normal(0, 1.5)",Opinião Pública,0.6134020618556701,0.5360180412371134,0.6030927835051546,0.6675257731958762,TRUE
"Normal(0, 1.5)",Revista Brasileira de Ciência Política,0.32786885245901637,0.24043715846994534,0.3333333333333333,0.43169398907103823,TRUE
"Normal(0, 1.5)",Revista Brasileira de Ciências Sociais,0.28936170212765955,0.22117021276595744,0.2936170212765957,0.3829787234042553,TRUE
"Normal(0, 1.5)",Revista de Sociologia e Política,0.34234234234234234,0.27019519519519525,0.34534534534534533,0.4174174174174174,TRUE
"Normal(0, 1.5)",Contexto Internacional,0.07207207207207207,0.018018018018018018,0.07207207207207207,0.15315315315315314,TRUE
"Normal(0, 1.5)",Revista Brasileira de Política Internacional,0.08860759493670886,0.0379746835443038,0.08860759493670886,0.15822784810126583,TRUE
"Student-t(3, 0, 2.5)",Brazilian Political Science Review,0.49707602339181284,0.38596491228070173,0.49122807017543857,0.5964912280701754,TRUE
"Student-t(3, 0, 2.5)",Dados,0.4176470588235294,0.34705882352941175,0.4176470588235294,0.48823529411764705,TRUE
"Student-t(3, 0, 2.5)",Opinião Pública,0.6134020618556701,0.5360824742268041,0.6030927835051546,0.6778350515463918,TRUE
"Student-t(3, 0, 2.5)",Revista Brasileira de Ciência Política,0.32786885245901637,0.24043715846994534,0.3333333333333333,0.4262295081967213,TRUE
"Student-t(3, 0, 2.5)",Revista Brasileira de Ciências Sociais,0.28936170212765955,0.2170212765957447,0.2978723404255319,0.37872340425531914,TRUE
"Student-t(3, 0, 2.5)",Revista de Sociologia e Política,0.34234234234234234,0.27627627627627627,0.34534534534534533,0.4144144144144144,TRUE
"Student-t(3, 0, 2.5)",Contexto Internacional,0.07207207207207207,0.018018018018018018,0.07207207207207207,0.15315315315315314,TRUE
"Student-t(3, 0, 2.5)",Revista Brasileira de Política Internacional,0.08860759493670886,0.0379746835443038,0.08860759493670886,0.15205696202531632,TRUE
