prior,parameter,estimate,q025,q975
"Normal(0, 1.5)","P(inferência | CP, periódico médio)",0.5022869245816638,0.052866483307910515,0.9501530297327302
"Normal(0, 1.5)","P(inferência | RI, periódico médio)",0.4969669722048739,0.014574784682609088,0.9840535860967138
"Normal(0, 1.5)",Diferença CP - RI,0.004897004634556763,-0.48713824653817367,0.4903802101838352
"Normal(0, 1.5)",P(delta > 0),0.510375,NA,NA
"Student-t(3, 0, 2.5)","P(inferência | CP, periódico médio)",0.4990882547622987,4.915675603970288e-4,0.9995951513956675
"Student-t(3, 0, 2.5)","P(inferência | RI, periódico médio)",0.4812679431587794,1.0559382627767954e-5,0.9999843978490279
"Student-t(3, 0, 2.5)",Diferença CP - RI,4.784338161326536e-7,-0.7383572935353812,0.7420268160639012
"Student-t(3, 0, 2.5)",P(delta > 0),0.503875,NA,NA
