prior,max_rhat,min_ess_bulk,min_ess_tail,divergences
"Normal(0, 1.5)",1.001487313407345,1814.6171027905302,2507.4545249293346,0
"Student-t(3, 0, 2.5)",1.0021160223673387,1641.7903134016422,2504.097607573214,0
