area_group,area_ri,journal_title,y,n,failures,observed_rate,journal_id
Ciência Política (inclui escopo compartilhado),0,Brazilian Political Science Review,85,171,86,0.49707602339181284,Brazilian Political Science Review
Ciência Política (inclui escopo compartilhado),0,Dados,142,340,198,0.4176470588235294,Dados
Ciência Política (inclui escopo compartilhado),0,Opinião Pública,238,388,150,0.6134020618556701,Opinião Pública
Ciência Política (inclui escopo compartilhado),0,Revista Brasileira de Ciência Política,60,183,123,0.32786885245901637,Revista Brasileira de Ciência Política
Ciência Política (inclui escopo compartilhado),0,Revista Brasileira de Ciências Sociais,68,235,167,0.28936170212765955,Revista Brasileira de Ciências Sociais
Ciência Política (inclui escopo compartilhado),0,Revista de Sociologia e Política,114,333,219,0.34234234234234234,Revista de Sociologia e Política
Relações Internacionais,1,Contexto Internacional,8,111,103,0.07207207207207207,Contexto Internacional
Relações Internacionais,1,Revista Brasileira de Política Internacional,14,158,144,0.08860759493670886,Revista Brasileira de Política Internacional
