journal_area_source,journals_n,articles_n,empirical_n,quantitative_n,quantitative_den_empirical,inference_n,inference_den_observed,inference_missing_n,screen_n,strict_n,pct_empirical,pct_quantitative_empirical,pct_inference_quantitative_observed,pct_screen_all,pct_strict_screen
Administração Pública,1,120,106,75,106,14,75,0,24,2,88.3,70.8,18.7,20,8.3
Ciência Política,4,1748,1439,1080,1439,497,1075,5,867,42,82.3,75.1,46.2,49.6,4.8
Ciência Política e Ciências Sociais,2,1330,1090,575,1090,210,575,0,375,14,82,52.8,36.5,28.2,3.7
Relações Internacionais,2,946,779,269,779,22,269,0,129,1,82.3,34.5,8.2,13.6,0.8
