area_group,journal_title,inference_n,inference_den_observed,inference_rate
Ciência Política (inclui escopo compartilhado),Brazilian Political Science Review,85,171,0.49707602339181284
Ciência Política (inclui escopo compartilhado),Dados,142,340,0.4176470588235294
Ciência Política (inclui escopo compartilhado),Opinião Pública,238,388,0.6134020618556701
Ciência Política (inclui escopo compartilhado),Revista Brasileira de Ciência Política,60,183,0.32786885245901637
Ciência Política (inclui escopo compartilhado),Revista Brasileira de Ciências Sociais,68,235,0.28936170212765955
Ciência Política (inclui escopo compartilhado),Revista de Sociologia e Política,114,333,0.34234234234234234
Relações Internacionais,Contexto Internacional,8,111,0.07207207207207207
Relações Internacionais,Revista Brasileira de Política Internacional,14,158,0.08860759493670886
