area_group,journal_area_source,journal_title,articles_n
Ciência Política (inclui escopo compartilhado),Ciência Política,Brazilian Political Science Review,268
Ciência Política (inclui escopo compartilhado),Ciência Política e Ciências Sociais,Dados,622
Ciência Política (inclui escopo compartilhado),Ciência Política,Opinião Pública,451
Ciência Política (inclui escopo compartilhado),Ciência Política,Revista Brasileira de Ciência Política,391
Ciência Política (inclui escopo compartilhado),Ciência Política e Ciências Sociais,Revista Brasileira de Ciências Sociais,708
Ciência Política (inclui escopo compartilhado),Ciência Política,Revista de Sociologia e Política,638
Relações Internacionais,Relações Internacionais,Contexto Internacional,456
Relações Internacionais,Relações Internacionais,Revista Brasileira de Política Internacional,490
