area_group,journals_n,articles_n,empirical_n,quantitative_n,quantitative_den_empirical,inference_n,inference_den_observed,inference_missing_n,screen_n,strict_n,pct_empirical,pct_quantitative_empirical,pct_inference_quantitative_observed,pct_screen_all,pct_strict_screen
Ciência Política (inclui escopo compartilhado),6,3078,2529,1655,2529,707,1650,5,1242,56,82.2,65.4,42.8,40.4,4.5
Relações Internacionais,2,946,779,269,779,22,269,0,129,1,82.3,34.5,8.2,13.6,0.8
