area_group,period_3,journals_n,articles_n,empirical_n,quantitative_n,quantitative_den_empirical,inference_n,inference_den_observed,inference_missing_n,screen_n,strict_n,pct_empirical,pct_quantitative_empirical,pct_inference_quantitative_observed,pct_screen_all,pct_strict_screen
Ciência Política (inclui escopo compartilhado),2005-2011,6,839,607,356,607,141,356,0,262,2,72.3,58.6,39.6,31.2,0.8
Ciência Política (inclui escopo compartilhado),2012-2018,6,1135,922,593,922,255,589,4,451,18,81.2,64.3,43.3,39.7,4
Ciência Política (inclui escopo compartilhado),2019-2025,6,1104,1000,706,1000,311,705,1,529,36,90.6,70.6,44.1,47.9,6.8
Relações Internacionais,2005-2011,2,257,194,54,194,0,54,0,26,0,75.5,27.8,0,10.1,0
Relações Internacionais,2012-2018,2,338,284,96,284,6,96,0,52,1,84,33.8,6.2,15.4,1.9
Relações Internacionais,2019-2025,2,351,301,119,301,16,119,0,51,0,85.8,39.5,13.4,14.5,0
