eligible_order,pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
3603,S0102-69092025000100528,Sensitivity to Violence and Discrimination Among Adolescents in High-Crime Urban Areas,Sensibilidad a la violencia y discriminación en adolescentes de ciudades con alta criminalidad,Solbey Morillo-Puente; Paula Andrea Valencia-Londoño; Marianela Luzardo Briceño,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40028/2025,research-article,es,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3603_S0102-69092025000100528.md,870f566caa19e7e28ec56bc50c5eb9dd408aa1a28474228d961cbc3ebfe248f2,c93b9c885f1d71628f8a8fc5ec0533b7ec6ef6b37f7b86315dd8a62599448618,TRUE,TRUE,46635,7133,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/TvNZ7TCQJwrL3b9zwPNxVHk/?lang=es,2026-06-04T00:33:07Z,1319,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3604,S0102-69092025000100529,Entre a esquerda e a direita: a dimensão política dos protestos de 2015 e 2016 no Brasil,Between left and right: the political dimension of the 2015 and 2016 protests in Brazil,Daniel Leonel da Rocha,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40035/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3604_S0102-69092025000100529.md,d03f4058c816716493ebc1c1c29093c2ffc4a76b2b4ae65db6ab3959073eb495,3b0f3026abb9f7dff04252abd39addab28ca44517eef96b2407035e0e21324bb,TRUE,TRUE,37607,5511,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/Mzvyd64tMkz3JSGLqqPbdMR/?lang=pt,2026-06-04T00:33:09Z,1094,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3605,S0102-69092025000100530,"O tucumã em movimento: extrativismo e ativismo de mulheres na ilha de Cotijuba, Pará","Tucumã on the move: extractivism and women&#8217;s activism at Cotijuba Island, Pará",Ana Felicien; Dalva Maria da Mota,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40033/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3605_S0102-69092025000100530.md,bf1ff8996259c6fcfce2ba59824b707bb1435df2ad0386f99611501bf890f31f,3a01cf31a4675bb8192d0feca40119ae5abdef1131fc43d981256fc7be06e287,TRUE,TRUE,52183,8047,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/8r5LWzb69GRzJh3Q5TxzXRR/?lang=pt,2026-06-04T00:33:10Z,1397,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3606,S0102-69092025000100531,Enquadramentos em disputa sob um aparente consenso neoliberal: o caso da regulamentação do trabalho de entregas por aplicativo no Brasil,Frames in tension under an apparent neoliberal consensus: the case of regulating app-based delivery work in Brazil,Letícia Birchal Domingues,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40036/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3606_S0102-69092025000100531.md,1a74f56cf29634d3200330f99093b4d27a4d13613241c4f58121186df8f8838d,ef0078004385aec091844e5b42eefad43cadcd981ef6062c90bef8593e8e8739,TRUE,TRUE,45361,6796,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/8m5t7gVPRqnPDfjGsWHVgCG/?lang=pt,2026-06-04T00:33:10Z,1157,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3607,S0102-69092025000100532,Da sociedade crítica à pós-modernidade reflexiva: Luc Boltanski e as metamorfoses da crítica,From the Critical Society to Reflexive Postmodernity: Luc Boltanski and the Metamorphoses of Critique,Diogo Silva Corrêa,2025,0102-6909,Revista Brasileira de Ciências Sociais,10.1590/40034/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3607_S0102-69092025000100532.md,cf8ca11c4b42c2818ac07d8ba0c62387ceeebbba2c801c4df19f30e3ba0b45de,1fe2a16ee902ce1498471cf58b73102f0893df5270278a4437555082b5e396c4,TRUE,TRUE,56697,8224,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/hfHGQVfxzCYwVdRFrcSwkpM/?lang=pt,2026-06-04T00:33:12Z,1303,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3608,S0102-69092025000100534,Misoginia em parecer científico para edital PQ/CNPq: análise de encadeamento discursivo e seus efeitos,Misogyny in Scientific Review: Analysis of the Discursive Chain and Effects on PQ Grants,Elizabeth Ruano-Ibarra; Cintia de Freitas Rodrigues Loureiro; Viviane de Melo Resende,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40039/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3608_S0102-69092025000100534.md,eaf033173e0b1ed900a7de46baba68a25bfa4c462fbc753ecddbb880e768d954,d8d1989ba2d97521d4b65b11db9f749724a799d4d3d551c943469f70872a9f6e,TRUE,TRUE,48109,7201,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/jWkfRvHLBvjV5prgMN6vPXh/?lang=pt,2026-06-04T00:33:13Z,1157,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3609,S0102-69092025000100535,A configuração da composição burocrática importa? O papel da burocracia na transformação digital dos municípios brasileiros,Does the configuration of the bureaucratic structure matter? The role of bureaucracy in the digital transformation of Brazilian municipalities,Lizandro Lui; Samuel de Melo Barbosa; Lidia Nicole Ten Cate,2025,0102-6909,Revista Brasileira de Ciências Sociais,10.1590/40040/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3609_S0102-69092025000100535.md,84eb7a968267b28b00fdbdb9e170b225a08d4c5c2dc00537ce051b5ff6887fe3,a55f1ad653e7d4ff91119d248684342d79d7e50914fbba3b0cbab75eaf545a8a,TRUE,TRUE,52543,7567,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/Qskrx73BCPNr7fCwVmbHL6w/?lang=pt,2026-06-04T00:33:14Z,1061,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
3610,S0102-69092025000100536,Censura e mercado de cinema no período democrático (1946&#8211;1964): discussões sobre a permanência da censura policial no Brasil entre ditaduras,Film censorship in Brazil&#8217;s democratic period (1946&#8211;1964): debating the endurance of police censorship between dictatorships,Fernanda Affonso de André Jaber,2025,1806-9053,Revista Brasileira de Ciências Sociais,10.1590/40038/2025,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/3610_S0102-69092025000100536.md,2cfa125a6da8afac82aeeb583424269f2c11019fa9a6388a8d03831ce9af25d4,5142e0709a96c0d04cf0d23b3fd5c9028a1c5030f879ad9e784a60a6b7f12c10,TRUE,TRUE,43948,6735,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcsoc/a/qQFNNNSswpNQvnLfJQmZGQp/?lang=pt,2026-06-04T00:33:15Z,1077,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
