eligible_order,pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
2812,S0103-33522022000100201,Protestos contemporâneos e a crise da democracia,Contemporary protests and the crisis of democracy,Ricardo Fabrino Mendonça; Letícia Birchal Domingues,2022,2178-4884,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.246424,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2812_S0103-33522022000100201.md,9bda9f1a99ea8fa57a2204271def1e385d378e0d4a478542a41ff5ffbec03775,e421a54fa335be60f7d641a04fb8e76964dbeb346ba158060a8a97c0cf1fb4d8,TRUE,TRUE,56372,8392,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/fh7HVMWfMVgz95W5tDGmtHk/?lang=pt,2026-06-04T00:38:19Z,1004,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2813,S0103-33522022000100202,Antigramscismo na América Latina: circulação e tradução de ideias,Anti-Gramscism in Latin America: circulation and translation of ideas,Daniela Mussi; Alvaro Bianchi,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.247343,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2813_S0103-33522022000100202.md,b7b1bd71916c5b0b711b9ffdcc4a270e5419f80f75603293f7351d6107b597e6,6cac7c530d0565c2ef9ce9fd2fa280ea144dbd46bdbc5b5bf8ef29fa182ee925,TRUE,TRUE,48060,7406,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/cNMMcJJgvqbnjP3VKpkmKPQ/?lang=pt,2026-06-04T00:38:20Z,722,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2814,S0103-33522022000100203,Manifestos e ideologia: questões metodológicas e aplicações na América Latina,Manifestos and ideology: methodological issues and applications to Latin America,Gabriela Tarouco; Rafael Madeira; Soraia Vieira,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.248474,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2814_S0103-33522022000100203.md,d7330f9b117a0be5a4c9a2717808296555016f4088a33f7d8785d75ba3d61a3e,f5be807f038151b60bab788000ce84375ebe0a47d2ef26207f3b5f4b9c31e47c,TRUE,TRUE,32691,5176,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/swcQmq3dCNf5xpYBk95ygmy/?lang=en,2026-06-04T00:38:20Z,694,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2815,S0103-33522022000100204,Os empresários industriais no primeiro mandato Dilma Rousseff (2011-2014): uma análise a partir do jornal Valor Econômico,Industrial entrepreneurs in Dilma Rousseff&#8217;s first term (2011-2014): an analysis from the newspaper Valor Econômico,Gabriel Nunes de Oliveira; Nicole Herscovici,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.249692,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2815_S0103-33522022000100204.md,586fc111873a44fa7b67f94c923dcf76fef7aa87bb0492a7697e25782d6b7980,e05fde0abfd354dce9480f21c55d80dbbf87c6b9db41d9811b8e09d1089a0e5c,TRUE,TRUE,47098,7135,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/qJkmrFTQFT7hrkXcb8nKdrG/?lang=pt,2026-06-04T00:38:20Z,991,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2816,S0103-33522022000100205,Liberalismo: um confronto entre Nietzsche e Schmitt,Liberalism: a confrontation between Nietzsche and Schmitt,Iann Endo Lobo,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.239354,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2816_S0103-33522022000100205.md,aa80f7f2ab136fde93a78a23e82aaf24a53828b0d050ae254e37957a41737737,5a0e342029476f19f0e0dbf7761a7fe61e5e6b499e3cb87e2b7a666f62835147,TRUE,TRUE,61237,9716,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/t5YgPS6wWtkSvCDpscR98zf/?lang=pt,2026-06-04T00:38:21Z,983,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2817,S0103-33522022000100206,Ativismo trans e reconhecimento: por uma &#8220;transcis-rexistência&#8221; na política brasileira,Trans activism and recognition: for a &#8220;transcis-rexistence&#8221; in Brazilian politics,Bárbara Novaes Medeiros; Gustavo Henrique Carvalho de Castro; Marcus Vinicius Soares Siqueira,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.246289,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2817_S0103-33522022000100206.md,ac39b6ef57f772f773d4ee40ac3d1a1b04527226ddf8a5e587528afbef34512d,0999c1880db3fef5e9073920a87ac0e25fc21516d01be049a772d42ae2add700,TRUE,TRUE,54112,8085,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/j8pTKbKVmQ6tkHBYmfCMdRr/?lang=pt,2026-06-04T00:38:22Z,908,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2818,S0103-33522022000100207,O papel da moderação nas Audiências Públicas Interativas do e-Democracia: entre a promoção do debate e o receio da censura,The role of moderation in Interactive e-Democracy Hearings - between the promotion of debate and the fear of censorship,Marcus Abílio Pereira; Cristiane Brum Bernardes; Maria Letícia Vale,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.249679,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2818_S0103-33522022000100207.md,f1d1bf28745599dc8a667014f1237745385da6138a13725a990cc4fbb2865faf,400018872da8dcfb64c98f9ef5d10d3e94b2de2b2caae68f6cbd86829c32e89b,TRUE,TRUE,63118,9531,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/4GcfvZjSXqjbJGKy6whsYNC/?lang=pt,2026-06-04T00:38:22Z,1119,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2819,S0103-33522022000100208,O campo da democracia digital brasileira: uma análise cientométrica de artigos publicados entre 1999 e 2020,The Brazilian e-democracy field: a scientometric analysis of articles published between 1999 and 2020,Rafael Cardoso Sampaio; Christiana Soares de Freitas; Nilton Cesar Monastier Kleina; Djiovanni Jonas França Marioto; Bruno Washington Nichols; Tiago Philippini Ferreira Borges da Silva; Murilo Brum Alison; Gabriel Alexandre Bozza; Victor Hausen,2022,2178-4884,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.250615,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2819_S0103-33522022000100208.md,e8803ffd00e3a2f17f14a2cd46cb8d8218bcd9928204f84b62a63080e975e4cb,1c5d885066c1e1f2fc57636cd1b8cc6ac3ea46e7a39838fac65967b26a6f177d,TRUE,TRUE,53240,8038,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/Rhx7P8zwYwtZpChry8p75Tf/?lang=pt,2026-06-04T00:38:22Z,903,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2820,S0103-33522022000100209,Uma medida de linguagem natural de ideologia no Senado Brasileiro,A natural language measure of ideology in the Brazilian Senate,Felipe C. de Figueredo; Bernardo Mueller; Daniel O. Cajueiro,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.246618,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2820_S0103-33522022000100209.md,b34b42a310e0b57945c48536c114f03c3818286b8d5fae68a73241cbeeb2ba0d,6e3265db3b64d11c65414bfb555e30e370f8bb8d0b280ec14d8d8e18ad4a81a8,TRUE,TRUE,44380,7028,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/fxQSQyvyDhbpP7cP9NTHzhP/?lang=en,2026-06-04T00:38:23Z,781,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
2821,S0103-33522022000100401,"Fomento à ciência, tecnologia e inovação (CT&amp;I) : mapeamento de políticas públicas no combate à pandemia de COVID-19 no âmbito estadual","Science, Technology, and Innovation (ST&amp;I) Promotion: mapping public policy to combat the Covid-19 pandemic at state level",Silmary de Jesus Gonçalves-Alvim; Pedro de Barros Leal Pinheiro Marino,2022,0103-3352,Revista Brasileira de Ciência Política,10.1590/0103-3352.2022.37.250243,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/2821_S0103-33522022000100401.md,68c465ca3eba97e8be2bb0114a608d02fe83f0dd377f56927eb3e20a75618cdc,9ed1e07fe12c4fc110bf9e6b487d84d6ab58bae2284134e757c79839da4bd2f9,TRUE,TRUE,49031,7402,articlemeta_fulltexts_html,http://www.scielo.br/j/rbcpol/a/Wd5Jy5XLgBMPp7XdDzgvjtS/?lang=pt,2026-06-04T00:38:24Z,1634,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
