eligible_order,pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
4720,S0104-44782025000100204,Entre la insatisfacción y la movilización: determinantes de las protestas en Colombia antes y durante la pandemia,Between discontent and mobilization: factors influencing protest participation in Colombia before and during the pandemic,José Manuel Rivas Otero,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E006,research-article,es,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4720_S0104-44782025000100204.md,6f20cbe573194e5927c1fab0ca56496d53da666c060677e717e4a45d65ee5b91,8a51410d9f3eaf4fc89fbb49287a808cdaba08f3b6b0534987c43ad04628cee2,TRUE,TRUE,50033,7721,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/T48HYYXsdjhgZ86JYQxmC4j/?lang=es,2026-06-04T00:43:27Z,1842,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4721,S0104-44782025000100205,"Transformação e resiliência institucional na democracia brasileira (2012-2025): Polity, Politics e Policy em interação","Institutional transformation and resilience in Brazilian democracy (2012-2025): polity, politics, and policy in interaction",Cláudio Gonçalves Couto; Rogério Bastos Arantes; Fernando Luiz Abrucio,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E010,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4721_S0104-44782025000100205.md,165049c503576732e010b59a54306b887b4efe774a6fa8980cda0c444094aee5,4a1f872c6109032ef7703e0d9f8d0220c0c66a1364f4a83d9b47be95632e8d74,TRUE,TRUE,72754,10827,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/g8fC5HNNbzptNKqnHfMWZMn/?lang=pt,2026-06-04T00:43:27Z,2249,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4722,S0104-44782025000100206,"Religião, ideologia e antipetismo nas eleições presidenciais brasileiras de 2018","Religion, ideology, and antipetismo in the 2018 Brazilian presidential elections",Leonardo Luz,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E012,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4722_S0104-44782025000100206.md,83655f4870842e5a92c5154052bb8950d42f8823898259a503f9a941972c126a,56252c1c575af017b70346d4887e6cd2b947a1bd4902dbb692498d35971a4084,TRUE,TRUE,40123,5851,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/kwdSbPsdggtStNdXXqZnR7d/?lang=pt,2026-06-04T00:43:27Z,2408,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4723,S0104-44782025000100207,O papel da política de informação do Estado na formação da transformação democrática em meio a ameaças híbridas,The role of state information policy in shaping democratic transformation amid hybrid threats,Sergii Balan; Vadym Vorotynskyy; Valerii Patalakha; Iryna Rybak; Volodymyr Tarasiuk,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E015,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4723_S0104-44782025000100207.md,cc3f0ed5fefbacbd0205355dc06288b6d3214d399a8005b6e9ad3b6fdd99c61d,aefc07b8483eab49e5e4503c287919b7290ec4340500efb1f8c08ec58157e670,TRUE,TRUE,63336,8719,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/6rmJY6FQZLWNdx3pw8LNxdr/?lang=en,2026-06-04T00:43:28Z,2123,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4724,S0104-44782025000100500,Fake news e as eleições democráticas: uma revisão de escopo da literatura,Fake news and democratic elections: a scoping review of the literature,Eduardo Grizenti; Samuel Barros; Roberta Resende,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E005,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4724_S0104-44782025000100500.md,48599f41ce6164c4da529124d03550b7c47f659bf263738829efb87a1c51ea3f,eda9998865ea98eb0c34ffb535beb96788d91a2ab391a9a1845f023013d2e9fb,TRUE,TRUE,40401,6344,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/ykWRVpDsZTkWjsdtRLRFRVB/?lang=pt,2026-06-04T00:43:28Z,2692,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4725,S0104-44782025000100501,"Habitação, saneamento e voto: como bens duráveis moldam o comportamento eleitoral","Housing, sanitation, and voting: how durable goods shape electoral behavior",Tomás Paixão Borges,2025,0104-4478,Revista de Sociologia e Política,10.1590/1678-98732433E007,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4725_S0104-44782025000100501.md,59d9c1e7bdc48ce336a2e35279e0ec68bdc30a3a4c1461cac9cc0454384bf40c,1e578428596a050ee52f22ab65adb0757e938e03db4563af24b82043335ea2e4,TRUE,TRUE,56585,8432,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/qVhQNHBWjP3VDyFVfHJzGkR/?lang=pt,2026-06-04T00:43:29Z,2619,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4726,S0104-44782025000100502,A desigualdade econômica impulsiona a polarização política? Uma revisão de escopo de teorias concorrentes,Does economic inequality drive political polarization? a scoping review of competing theories,Pedro Mendes Rufino Barbosa; Arthur Zito Guerriero,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E011,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4726_S0104-44782025000100502.md,3cdf356b78365e069e70c4b5c2616545adadd6323f3e36f693928e6050ccd9f6,eb371da19f2e45dd07f9a6c7644771d45a90786367a524c74c0fa4963d3ecb2d,TRUE,TRUE,44838,6703,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/FGzFJNS9XP8V98kbRJJmsLx/?lang=pt,2026-06-04T00:43:29Z,3030,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4727,S0104-44782025000100503,Centros de Governo em perspectiva comparada: uma revisão de escopo da literatura internacional,Centers of government in comparative perspective: a scoping review of the international literature,Evelyn Apolinaria; Arnaldo Mauerberg Junior,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E013,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4727_S0104-44782025000100503.md,f30e0eddbf7a9238538ce3e1abd73462bb9cc7bd189e5c2eeea61cc229f09e12,66aa2357e5a743a117525f6830b04e5f2d5b689779deb1a64ff8d435bbdea65e,TRUE,TRUE,44579,6483,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/qSRGp5PQf9Kw5PpTxsnBWDQ/?lang=pt,2026-06-04T00:43:31Z,1918,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4728,S0104-44782025000100800,Transformação digital e proteção de dados: análise institucional da implementação da LGPD nas capitais brasileiras,Digital transformation and data protection in Brazil: an institutional analysis of the general data protection law in state capitals,Lizandro Lui; Moacir Cézar Santos; Thayná Rosa Gomes; Gabriela Candido Ferreira,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E008,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4728_S0104-44782025000100800.md,43f4dc6dd3e4887809ad3d04f11df1630a88e6246c0e37b81c8215bbd4e5c3cd,af720c4d24bfb93e5fce18d6ab0880f074bc6383f1e58cfcd239aad64244b95f,TRUE,TRUE,75046,11113,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/BGDJY9FTnv6H8PKffpb3JjG/?lang=pt,2026-06-04T00:43:31Z,2008,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
4729,S0104-44782025000100801,Os efeitos da reeleição sobre políticas municipais: evidências de eleições acirradas no Brasil,The effects of reelection on municipal policy: evidence from close elections in Brazil,Bruno Schaefer; Fernando Meireles,2025,1678-9873,Revista de Sociologia e Política,10.1590/1678-98732433E014,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/4729_S0104-44782025000100801.md,24cefbd797a424181d79e30f3320426db54bb74833580e3b52a7486f229ec7fb,0a8a15b536e660730d8652ea01937afe64b3251f84ab75a810e7e39d1d81016f,TRUE,TRUE,50550,7576,articlemeta_fulltexts_html,http://www.scielo.br/j/rsocp/a/RR4ggmNn55FJ7kmVqkrDYHS/?lang=pt,2026-06-04T00:43:32Z,2134,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
